city,state,2010population,2011population,2012population,2013population,2014population,2015population,2016population,populationRecent,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,dnrCount,zeroCount
Adams Village,New York,1664,1783,1811,1861,1851,1852,1837,,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Adamstown,Pennsylvania,1597,1795,1808,1845,1846,1846,1848,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Adamsville,Alabama,2134,2227,2227,2235,2263,2271,2245,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Addis,Louisiana,4043,3626,3666,4101,4327,4655,4808,,DNR,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,0,0,0,0,0,0,,
Addison,Alabama,15862,13331,13523,15961,16061,16125,16067,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Addison Town and Village,New York,2466,2607,2611,2577,2568,2552,2541,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Addison Township,Michigan,No Data,No Data,No Data,No Data,No Data,6541,6532,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,,
Addyston,Ohio,1001,939,935,934,No Data,No Data,No Data,,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0, DNR, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Adel,Georgia,4462,3701,3879,3990,4133,4291,4356,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Adelanto,California,29697,32138,32520,31165,31213,33005,33479,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,,
Adrian,Michigan,1863,1683,1677,1633,1624,1627,1611,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Adrian Township,Michigan,No Data,No Data,No Data,No Data,6274,6352,No Data,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,,
Advance,Missouri,1180,1352,1342,1341,1340,1368,1369,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Afton,Wyoming,1960,1926,1934,1906,1961,1982,1983,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Afton Village,New York,No Data,No Data,821,821,820,815,806,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,,
Agawam,Massachusetts,28215,28611,28708,28659,28769,28853,28844,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,,
Agoura Hills,California,22318,20569,20667,20762,20767,20970,21032,,0,1,1,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ahoskie,North Carolina,4617,5103,5039,4988,5017,4955,4883,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Aiken,South Carolina,29875,29868,29909,29965,30458,30415,30800,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Airway Heights,Washington,5618,6210,6198,6441,6502,6652,8425,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Aitkin,Minnesota,No Data,No Data,No Data,No Data,No Data,No Data,2031,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,,
Akeley,Minnesota,No Data,No Data,No Data,No Data,No Data,No Data,431,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0, DNR, DNR,0,,
Akron,Ohio,4053,3888,3914,3918,3933,4001,4014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
Akron Village,New York,2923,2881,2880,2846,2842,2851,2840,,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Akron-Fairgrove,Michigan,No Data,No Data,961,No Data,No Data,No Data,No Data,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Alabaster,Alabama,30781,30498,No Data,No Data,No Data,No Data,No Data,,0,0,0,0,1,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
