state,agencyType,agencyName,q01,q02,q03,q04,population,addendum
California,Cities,American Canyon,0,0,0,0,"19,873",0
California,Cities,Anderson,0,0,0,0,"10,056",0
California,Cities,Arcadia,0,0,0,0,"57,295",0
California,Cities,Arroyo Grande,0,0,0,0,"17,568",0
California,Cities,Artesia,0,0,0,0,"16,793",0
California,Cities,Arvin,0,0,0,0,"19,761",0
California,Cities,Atherton,0,0,0,0,"7,060",0
California,Cities,Atwater,0,0,0,0,"28,891",0
California,Cities,Auburn,0,0,0,0,"13,787",0
California,Cities,Avalon,0,0,0,0,"3,795",0
California,Cities,Avenal,0,0,0,0,"15,704",0
California,Cities,Baldwin Park,0,0,0,0,"76,644",0
California,Cities,Banning,0,0,0,0,"30,541",0
California,Cities,Barstow,0,0,0,0,"23,188",0
California,Cities,Bear Valley,0,0,0,0,"5,282",0
California,Cities,Beaumont,0,0,0,0,"38,072",0
California,Cities,Bell,0,0,0,0,"36,062",0
California,Cities,Bell Gardens,0,0,0,0,"42,769",0
California,Cities,Belmont,0,0,0,0,"26,389",0
California,Cities,Belvedere,0,0,0,0,"2,109",0
California,Cities,Big Bear Lake,0,0,0,0,"5,141",0
California,Cities,Biggs,0,0,0,0,"1,724",0
California,Cities,Bishop,0,0,0,0,"3,900",0
California,Cities,Blythe,0,0,0,0,"21,323",0
California,Cities,Bradbury,0,0,0,0,"1,067",0
California,Cities,Brawley,0,0,0,0,"25,570",0
California,Cities,Brea,0,0,0,0,"40,253",0
California,Cities,Brisbane,0,0,0,0,"4,374",0
California,Cities,Broadmoor,0,0,0,0,"4,264",0
California,Cities,Buellton,0,0,0,0,"4,908",0
California,Cities,Burlingame,0,0,0,0,"29,427",0
California,Cities,Calexico,0,0,0,0,"39,527",0
California,Cities,California City,0,0,0,0,"14,460",0
California,Cities,Calipatria,0,0,0,0,"7,831",0
California,Cities,Calistoga,0,0,0,0,"5,266",0
California,Cities,Canyon Lake,0,0,0,0,"10,905",0
California,Cities,Carlsbad,0,0,0,0,"107,879",0
California,Cities,Carmel,0,0,0,0,"3,822",0
California,Cities,Carpinteria,0,0,0,0,"13,257",0
California,Cities,Cathedral City,0,0,0,0,"52,867",0
California,Cities,Ceres,0,0,0,0,"46,167",0
California,Cities,Chowchilla,0,0,0,0,"19,221",0
California,Cities,City of Angels,0,0,0,0,"3,826",0
California,Cities,Clayton,0,0,0,0,"11,179",0
California,Cities,Cloverdale,0,0,0,0,"8,775",0
California,Cities,Coachella,0,0,0,0,"42,034",0
California,Cities,Coalinga,0,0,0,0,"13,669",0
California,Cities,Colma,0,0,0,0,"1,832",0
California,Cities,Colusa,0,0,0,0,"6,065",0
California,Cities,Commerce,0,0,0,0,"13,035",0
California,Cities,Corcoran,0,0,0,0,"25,119",0
California,Cities,Corning,0,0,0,0,"7,751",0
California,Cities,Costa Mesa,0,0,0,0,"112,635",0
California,Cities,Cotati,0,0,0,0,"7,398",0
California,Cities,Crescent City,0,0,0,0,"7,723",0
California,Cities,Culver City,0,0,0,0,"39,528",0
California,Cities,Danville,0,0,0,0,"43,121",0
California,Cities,Delano,0,0,0,0,"54,318",0
California,Cities,Del Mar,0,0,0,0,"4,263",0
California,Cities,Del Rey Oaks,0,0,0,0,"1,668",0
California,Cities,Desert Hot Springs,0,0,0,0,"27,929",0
California,Cities,Dinuba,0,0,0,0,"21,999",0
California,Cities,Dixon,0,0,0,0,"18,708",0
California,Cities,Dorris,0,0,0,0,939,0
California,Cities,Dos Palos,0,0,0,0,"5,079",0
California,Cities,Duarte,0,0,0,0,"21,673",0
California,Cities,Dublin,0,0,0,0,"47,004",0
California,Cities,Dunsmuir,0,0,0,0,"1,650",0
California,Cities,East Palo Alto,0,0,0,0,"28,766",0
California,Cities,El Centro,0,0,0,0,"43,643",0
California,Cities,El Cerrito,0,0,0,0,"24,156",0
California,Cities,Elk Grove,0,0,0,0,"156,344",0
California,Cities,El Segundo,0,0,0,0,"16,931",0
California,Cities,Emeryville,0,0,0,0,"10,309",0
California,Cities,Escalon,0,0,0,0,"7,314",0
California,Cities,Etna,0,0,0,0,737,0
California,Cities,Exeter,0,0,0,0,"10,596",0
California,Cities,Fairfax,0,0,0,0,"7,590",0
California,Cities,Fairfield,0,0,0,0,"107,110",0
California,Cities,Farmersville,0,0,0,0,"10,860",0
California,Cities,Ferndale,0,0,0,0,"1,385",0
California,Cities,Fillmore,0,0,0,0,"15,298",0
California,Cities,Firebaugh,0,0,0,0,"7,724",0
California,Cities,Folsom,0,0,0,0,"73,678",0
California,Cities,Fontana,0,0,0,0,"200,874",0
California,Cities,Fort Bragg,0,0,0,0,"7,317",0
California,Cities,Fort Jones,0,0,0,0,841,0
California,Cities,Fortuna,0,0,0,0,"12,050",0
California,Cities,Foster City,0,0,0,0,"31,230",0
California,Cities,Fremont,0,0,0,0,"218,927",0
California,Cities,Galt,0,0,0,0,"24,163",0
California,Cities,Glendora,0,0,0,0,"50,903",0
California,Cities,Goleta,0,0,0,0,"30,384",0
California,Cities,Gonzales,0,0,0,0,"8,404",0
California,Cities,Grand Terrace,0,0,0,0,"12,333",0
California,Cities,Grass Valley,0,0,0,0,"12,959",0
California,Cities,Gridley,0,0,0,0,"6,654",0
California,Cities,Grover Beach,0,0,0,0,"13,398",0
California,Cities,Guadalupe,0,0,0,0,"7,198",0
California,Cities,Gustine,0,0,0,0,"5,663",0
California,Cities,Healdsburg,0,0,0,0,"11,458",0
California,Cities,Hidden Hills,0,0,0,0,"1,887",0
California,Cities,Hillsborough,0,0,0,0,"11,060",0
California,Cities,Hollister,0,0,0,0,"35,766",0
California,Cities,Holtville,0,0,0,0,"6,088",0
California,Cities,Huntington Park,0,0,0,0,"59,079",0
California,Cities,Huron,0,0,0,0,"6,901",0
California,Cities,Imperial,0,0,0,0,"15,126",0
California,Cities,Imperial Beach,0,0,0,0,"26,956",0
California,Cities,Indian Wells,0,0,0,0,"5,120",0
California,Cities,Indio,0,0,0,0,"78,501",0
California,Cities,Industry,0,0,0,0,222,0
California,Cities,Ione,0,0,0,0,"7,977",0
California,Cities,Irwindale,0,0,0,0,"1,447",0
California,Cities,Jackson,0,0,0,0,"4,677",0
California,Cities,Kensington,0,0,0,0,"5,185",0
California,Cities,Kerman,0,0,0,0,"13,854",0
California,Cities,King City,0,0,0,0,"13,214",0
California,Cities,Kingsburg,0,0,0,0,"11,644",0
California,Cities,La Canada Flintridge,0,0,0,0,"20,584",0
California,Cities,Lafayette,0,0,0,0,"24,510",0
