State,Agency type,Agency name,q01,q02,q03,q04,Population,From,,,,
,,Monument,0,2,0,0,"5,744",,,,,
,,Parker,0,1,0,0,"47,004",,,,,
,,Pueblo,2,1,0,0,"109,065",,,,,
,,Sheridan,0,0,1,0,"5,871",,,,,
,,Steamboat Springs,0,1,0,0,"12,116",,,,,
,,Sterling,2,0,0,0,"14,929",,,,,
,,Telluride,0,1,0,0,"2,401",,,,,
,,Westminster,0,0,0,1,"109,461",,,,,
,,Wheat Ridge3,1,1,1,0,"30,886",,,,,
,,Windsor,0,1,1,0,"19,330",,,,,
,Universities and Colleges,,,,,,,,,,,
,,Auraria Higher Education Center4,0,0,0,1,,,,,,
,,"Colorado State University, Fort Collins",0,1,1,1,"30,467",,,,,
,,University of Northern Colorado,0,0,1,0,"13,038",,,,,
,Metropolitan Counties,,,,,,,,,,,
,,Adams,0,1,1,1,,,,,,
,,Arapahoe,2,0,4,0,,,,,,
,,Jefferson,3,0,2,1,,,,,,
,,Larimer,3,0,1,2,,,,,,
,,Mesa,1,1,0,0,,,,,,
,Nonmetropolitan Counties,,,,,,,,,,,
,,Bent,0,0,1,0,,,,,,
,,Chaffee,1,1,0,0,,,,,,
,,Kit Carson,0,0,1,0,,,,,,
,,Montrose,0,1,1,0,,,,,,
,,Summit,1,0,1,0,,,,,,
Connecticut,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Berlin,0,1,0,0,"19,935",,,,,
,,Bloomfield,0,0,1,0,"20,557",,,,,
,,Bridgeport,0,2,1,3,"146,030",,,,,
,,Bristol,0,1,0,0,"60,688",,,,,
,,Canton,0,0,1,0,"10,328",,,,,
,,Coventry,1,1,0,0,"12,451",,,,,
,,Derby,0,0,0,1,"12,917",,,,,
,,Enfield,1,0,1,2,"44,806",,,,,
,,Glastonbury,0,0,1,0,"34,547",,,,,
,,Groton,0,0,1,0,"10,397",,,,,
,,Groton Town,2,0,1,0,"29,231",,,,,
,,Hamden,0,0,1,0,"61,032",,,,,
,,Hartford,2,1,1,0,"125,203",,,,,
,,Manchester,6,4,3,3,"58,444",,,,,
,,Middletown,1,2,2,0,"47,878",,,,,
,,Milford,0,1,,1,"52,817",,,,,
,,Naugatuck,0,0,0,1,"31,896",,,,,
,,New Britain,0,0,1,0,"73,458",,,,,
,,New Canaan,0,1,0,0,"19,992",,,,,
,,New Haven,5,1,4,2,"129,934",,,,,
,,Newington,0,1,0,0,"30,668",,,,,
,,New London,2,0,3,1,"27,643",,,,,
,,New Milford,0,1,0,0,"28,047",,,,,
,,Newtown,1,0,0,0,"27,904",,,,,
,,Norwalk,0,1,0,1,"86,693",,,,,
,,Norwich,3,2,0,0,"40,517",,,,,
,,Old Saybrook,0,0,1,1,"10,293",,,,,
,,Orange,1,0,0,0,"13,971",,,,,
,,Seymour,1,1,1,1,"16,558",,,,,
,,Shelton,0,1,0,0,"40,062",,,,,
,,Simsbury,0,1,0,0,"23,591",,,,,
,,Southington,1,2,1,2,"43,219",,,,,
,,Stamford,1,1,2,2,"124,201",,,,,
,,Stonington,0,0,2,1,"18,556",,,,,
,,Stratford,2,1,0,0,"52,041",,,,,
,,Torrington,1,1,3,3,"36,264",,,,,
,,Wallingford,2,1,4,0,"45,183",,,,,
,,Waterbury,3,0,3,0,"110,486",,,,,
,,West Hartford,1,0,1,1,"63,487",,,,,
,,West Haven,1,1,0,0,"55,626",,,,,
,,Windsor,0,0,0,1,"29,145",,,,,
,,Windsor Locks,0,1,0,0,"12,541",,,,,
,,Wolcott,0,1,0,0,"16,697",,,,,
,Universities and Colleges,,,,,,,,,,,
,,Central Connecticut State University,1,0,0,0,"12,521",,,,,
,,"University of Connecticut, Storrs, Avery Point, and Hartford4",0,0,2,0,,,,,,
,,Western Connecticut State University,3,1,0,0,"6,407",,,,,
,State Police Agencies,,,,,,,,,,,
,,Connecticut State Police,2,1,0,1,,,,,,
,Other Agencies,,,,,,,,,,,
,,Metropolitan Transportation Authority,0,0,1,0,,,,,,
Delaware,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Milton,0,0,1,0,"2,650",,,,,
,,Wilmington,0,2,1,0,"72,088",,,,,
,Metropolitan Counties,,,,,,,,,,,
,,New Castle County Police Department,0,1,0,2,,,,,,
,State Police Agencies,,,,,,,,,,,
,,State Police:,,,,,,,,,,
,,New Castle County,1,0,0,0,,,,,,
,,Sussex County,1,0,1,0,,,,,,
District of Columbia,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Washington,19,19,19,14,"632,323",,,,,
,Other Agencies,,,,,,,,,,,
,,Metro Transit Police,0,0,1,0,,,,,,
Florida,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Apopka,1,0,0,0,"43,046",,,,,
,,Aventura,0,1,0,0,"37,110",,,,,
,,Bartow,0,0,1,0,"17,740",,,,,
