Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
per Bias Motivation and Quarter,,,,,,,,,,,,,,,,,
"by State and Agency, 2012",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2,,,,,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,,,
,,Yucaipa,1,0,0,0,0,0,1,0,0,"52,622",,,,,
,Universities and Colleges,,15,7,4,6,1,,,,,,,,,,
,,Allan Hancock College,1,0,0,2,0,0,1,0,2,"10,955",,,,,
,,"California State Polytechnic University, Pomona",0,0,1,0,0,0,0,0,1,"21,107",,,,,
,,California State University:,,,,,,,,,,,,,,,
,,Dominguez Hills,1,0,0,0,0,0,0,0,1,"14,364",,,,,
,,Fullerton,1,1,1,0,0,1,1,1,0,"36,156",,,,,
,,Long Beach,1,0,0,0,0,0,0,0,1,"34,870",,,,,
,,Northridge,3,0,0,0,0,3,0,0,0,"36,911",,,,,
,,San Jose,0,0,1,1,0,0,0,0,2,"30,236",,,,,
,,San Marcos,0,2,0,0,0,0,0,0,2,"10,276",,,,,
,,Marin Community College,1,0,0,0,0,0,0,1,0,"7,075",,,,,
,,Riverside Community College,1,0,0,0,0,0,0,1,0,"18,395",,,,,
,,San Diego State University,1,0,0,0,0,0,1,0,0,"30,541",,,,,
,,Santa Rosa Junior College,0,0,0,1,1,0,1,1,0,"24,199",,,,,
,,University of California:,,,,,,,,,,,,,,,
,,Berkeley,1,1,1,2,0,0,1,2,2,"36,137",,,,,
,,Irvine,1,0,0,0,0,0,0,1,0,"27,189",,,,,
,,Los Angeles,1,0,0,0,0,1,0,0,0,"39,271",,,,,
,,Riverside,1,1,0,0,0,1,1,0,0,"20,900",,,,,
,,San Diego,0,1,0,0,0,1,0,0,0,"28,593",,,,,
,,San Francisco,1,1,0,0,0,0,2,0,0,"3,054",,,,,
,Metropolitan Counties,,48,13,21,28,0,,,,,,,,,,
,,Alameda,0,0,0,1,0,0,0,0,1,,,,,,
,,Butte,1,0,0,0,0,1,0,0,0,,,,,,
,,Contra Costa,1,0,0,0,0,0,1,0,0,  ,,,,,
,,El Dorado,1,1,2,0,0,1,2,0,1,,,,,,
,,Kern,1,0,0,0,0,0,0,0,1,,,,,,
,,Los Angeles,12,3,5,7,0,9,5,11,2,,,,,,
,,Monterey,1,0,0,0,0,1,0,0,0,,,,,,
,,Orange,2,0,0,0,0,0,1,1,0,,,,,,
,,Riverside,1,0,2,0,0,0,0,1,2,,,,,,
,,Sacramento,12,2,2,4,0,5,7,4,4,,,,,,
,,San Bernardino,0,0,1,0,0,1,0,0,0,,,,,,
,,San Diego,11,5,1,7,0,3,9,7,5,,,,,,
,,Santa Clara,1,0,0,1,0,0,0,1,1,,,,,,
,,Santa Cruz,2,1,2,3,0,3,3,2,0,,,,,,
,,Solano,0,0,0,1,0,1,0,0,0,,,,,,
,,Sonoma,0,0,3,1,0,0,1,3,0,,,,,,
,,Stanislaus,1,0,1,0,0,0,1,1,0,,,,,,
,,Tulare,0,1,0,0,0,0,1,0,0,,,,,,
,,Ventura,1,0,1,2,0,2,0,1,1,,,,,,
,,Yuba,0,0,1,1,0,0,0,1,1,,,,,,
,Nonmetropolitan Counties,,3,0,2,1,0,,,,,,,,,,
,,Amador,0,0,1,1,0,2,0,0,0,,,,,,
,,Lake,2,0,1,0,0,1,2,0,0,,,,,,
,,Tuolumne,1,0,0,0,0,1,0,0,0,,,,,,
,Other Agencies,,17,1,4,2,0,,,,,,,,,,
,,"Department of Parks and Recreation, Northern Buttes",0,1,0,0,0,1,0,0,0,,,,,,
,,Los Angeles Transportation Services Bureau,9,0,1,1,0,1,4,3,3,,,,,,
,,Port of San Diego Harbor,0,0,1,0,0,0,0,0,1,,,,,,
,,Santa Clara Transit District,1,0,0,0,0,1,0,0,0,,,,,,
,,San Francisco Bay Area Rapid Transit:,,,,,,,,,,,,,,,
,,Alameda County,2,0,1,0,0,0,1,2,0,,,,,,
,,Contra Costa County,1,0,0,1,0,0,2,0,0,,,,,,
,,San Francisco County,3,0,0,0,0,2,1,0,0,,,,,,
,,San Mateo County,1,0,0,0,0,0,0,1,0,,,,,,
,,Stockton Unified School District,0,0,1,0,0,1,0,0,0,,,,,,
Colorado,Total,,87,34,33,35,0,,,,,,,,,,
,Cities,,74,26,24,29,0,,,,,,,,,,
,,Aspen,1,0,0,0,0,0,0,1,0,"6,734",,,,,
,,Aurora,2,0,1,0,0,1,0,1,1,"336,952",,,,,
,,Berthoud,1,0,0,0,0,1,0,0,0,"5,278",,,,,
,,Boulder,0,0,0,1,0,0,1,0,0,"100,257",,,,,
,,Canon City,0,0,2,0,0,0,0,1,1,"16,727",,,,,
,,Centennial,3,0,0,0,0,1,1,1,0,"104,022",,,,,
,,Colorado Springs,8,8,1,1,0,0,5,7,6,"432,287",,,,,
,,Craig,2,1,1,1,0,0,0,5,0,"9,357",,,,,
,,Denver,21,6,12,6,0,11,8,13,13,"628,545",,,,,
,,Durango,2,0,0,0,0,0,1,1,0,"17,305",,,,,
,,Englewood,2,0,0,0,0,0,1,1,0,"31,358",,, ,,
,,Fort Collins,2,0,0,0,0,0,0,1,1,"148,792",,,,,
,,Fountain,4,0,0,0,0,0,0,3,1,"26,841",,,,,
,,Frisco,0,0,0,1,0,0,1,0,0,"2,717",,,,,
,,Glendale,2,0,0,1,0,0,0,1,2,"4,493",,,,,
,,Glenwood Springs,2,1,0,0,0,0,0,1,2,"9,727",,,,,
,,Grand Junction,0,0,3,1,0,1,0,3,0,"59,516",,,,,
,,Greeley,4,1,0,1,0,3,1,2,0,"96,276",,,,,
,,Hotchkiss,0,1,0,0,0,,1,0,0,942,,,,,
,,Johnstown,1,0,0,0,0,0,0,1,0,"10,259",,,,,
,,Lafayette,2,5,0,1,0,0,1,3,4,"25,209",,,,,
,,La Junta,0,0,0,1,0,0,0,1,0,"7,187",,,,,
,,Lakewood,1,0,1,0,0,0,0,0,2,"146,404",,,,,
,,Littleton,2,0,0,0,0,2,0,0,0,"43,229",,,,,
,,Lone Tree,2,2,0,3,0,1,3,2,1,"88,925",,,,,
,,Longmont,3,1,1,2,0,4,3,0,0,"69,147",,,,,
,,Meeker,0,0,0,1,0,0,0,1,0,"2,554",,,,,
,,Monument,0,0,1,1,0,0,2,0,0,"5,744",,,,,
,,Parker,1,0,0,0,0,0,1,0,0,"47,004",,,,,
,,Pueblo,1,0,0,2,0,2,1,0,0,"109,065",,,,,
,,Sheridan,0,0,0,1,0,0,0,1,0,"5,871",,,,,
,,Steamboat Springs,1,0,0,0,0,0,1,0,0,"12,116",,,,,
,,Sterling,0,0,0,2,0,2,0,0,0,"14,929",,,,,
,,Telluride,0,0,0,1,0,0,1,0,0,"2,401",,,,,
,,Westminster,1,0,0,0,0,0,0,0,1,"109,461",,,,,
,,Wheat Ridge3,2,0,1,0,0,1,1,1,0,"30,886",,,,,
,,Windsor,1,0,0,1,0,0,1,1,0,"19,330",,,,,
,Universities and Colleges,,3,0,2,0,0,,,,,,,,,,
,,Auraria Higher Education Center4,1,0,0,0,0,0,0,0,1,,,,,,
,,"Colorado State University, Fort Collins",1,0,2,0,0,0,1,1,1,"30,467",,,,,
,,University of Northern Colorado,1,0,0,0,0,0,0,1,0,"13,038",,,,,
,Metropolitan Counties,,7,7,4,5,0,,,,,,,,,,
,,Adams,1,0,0,2,0,0,1,1,1,,,,,,
,,Arapahoe,2,3,1,0,0,2,0,4,0,,,,,,
,,Jefferson,1,3,1,1,0,3,0,2,1,,,,,,
,,Larimer,2,1,2,1,0,3,0,1,2,,,,,,
,,Mesa,1,0,0,1,0,1,1,0,0,,,,,,
,Nonmetropolitan Counties,,3,1,3,1,0,,,,,,,,,,
,,Bent,0,0,1,0,0,0,0,1,0,,,,,,
,,Chaffee,0,1,1,0,0,1,1,0,0,,,,,,
,,Kit Carson,0,0,0,1,0,0,0,1,0,,,,,,
,,Montrose,2,0,0,0,0,0,1,1,0,,,,,,
