Year,State,Agency Type,Agency name,q01,q02,q03,q04,Population2
2014,California,Cities,Windsor,0,0,0,1,27350
2014,California,Cities,Yorba Linda,1,0,0,0,67702
2014,California,Cities,Yuba City,0,0,1,0,65525
2014,California,Cities,Yucaipa,0,1,0,0,52794
2014,California,Cities,Yucca Valley,0,0,1,0,21228
2014,California,Universities and Colleges,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,California,Universities and Colleges,"California State Polytechnic University, San Luis Obispo",0,0,0,1,19703
2014,California,Universities and Colleges,California State University: , Nan, Nan, Nan, Nan,
2014,California,Universities and Colleges,East Bay,0,0,1,0,14526
2014,California,Universities and Colleges,San Jose,0,0,2,0,31278
2014,California,Universities and Colleges,Riverside Community College,1,0,0,0,36233
2014,California,Universities and Colleges,University of California: , Nan, Nan, Nan, Nan,
2014,California,Universities and Colleges,Berkeley,2,4,2,0,36198
2014,California,Universities and Colleges,Davis,0,2,1,0,33307
2014,California,Universities and Colleges,San Diego,0,0,2,0,29517
2014,California,Metropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,California,Metropolitan Counties,Fresno,1,0,0,0,
2014,California,Metropolitan Counties,Imperial,0,1,0,0,
2014,California,Metropolitan Counties,Los Angeles,5,7,5,1,
2014,California,Metropolitan Counties,Marin,0,1,0,0,
2014,California,Metropolitan Counties,Merced,0,1,0,0,
2014,California,Metropolitan Counties,Orange,1,1,0,0,
2014,California,Metropolitan Counties,Riverside,0,1,2,0,
2014,California,Metropolitan Counties,Sacramento,2,2,2,0,
2014,California,Metropolitan Counties,San Bernardino,1,0,2,1,
2014,California,Metropolitan Counties,San Diego,3,6,5,3,
2014,California,Metropolitan Counties,San Mateo,1,0,0,0,
2014,California,Metropolitan Counties,Santa Barbara,0,1,1,0,
2014,California,Metropolitan Counties,Santa Clara,0,1,1,2,
2014,California,Metropolitan Counties,Santa Cruz,0,4,2,1,
2014,California,Metropolitan Counties,Shasta,1,0,0,0,
2014,California,Metropolitan Counties,Sonoma,0,1,0,0,
2014,California,Metropolitan Counties,Stanislaus,0,0,1,0,
2014,California,Metropolitan Counties,Ventura,1,1,1,0,
2014,California,Metropolitan Counties,Yolo,1,0,0,0,
2014,California,Metropolitan Counties,Yuba2,2,0,0,1,
2014,California,Nonmetropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,California,Nonmetropolitan Counties,Amador,1,0,0,0,
2014,California,Nonmetropolitan Counties,Calaveras,1,0,0,1,
2014,California,Nonmetropolitan Counties,Glenn,1,0,0,0,
2014,California,Nonmetropolitan Counties,Humboldt,0,1,0,0,
2014,California,Nonmetropolitan Counties,Tuolumne,0,0,1,1,
2014,California,State Police Agencies,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,California,State Police Agencies,"Highway Patrol, San Diego County",0,0,1,0,
2014,California,Other Agencies,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,California,Other Agencies,"Department of Parks and Recreation, San Diego Coast ",0,1,0,0,
2014,California,Other Agencies,Los Angeles County Metropolitan Transportation Authority,0,0,0,1,
2014,California,Other Agencies,Los Angeles Transportation Services Bureau,1,3,6,5,
2014,California,Other Agencies,Port of San Diego Harbor,2,0,0,1,
2014,California,Other Agencies,San Francisco Bay Area Rapid Transit: , Nan, Nan, Nan, Nan,
2014,California,Other Agencies,Alameda County,0,4,1,1,
2014,California,Other Agencies,Contra Costa County,1,2,1,0,
2014,California,Other Agencies,San Francisco County,1,1,0,0,
2014,Colorado,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Colorado,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Colorado,Cities,Arvada,0,1,0,0,113008
2014,Colorado,Cities,Aurora,1,1,2,0,350948
2014,Colorado,Cities,Brighton,0,0,0,1,36185
2014,Colorado,Cities,Canon City,1,0,0,0,16291
2014,Colorado,Cities,Castle Rock,0,0,1,1,54253
2014,Colorado,Cities,Centennial,0,0,2,1,107485
2014,Colorado,Cities,Colorado Springs,1,3,3,0,444949
2014,Colorado,Cities,Commerce City,0,1,0,0,50754
2014,Colorado,Cities,Denver,1,4,7,4,665353
2014,Colorado,Cities,Durango,0,3,0,0,17710
2014,Colorado,Cities,Fort Collins,0,1,2,0,154015
2014,Colorado,Cities,Fort Morgan,2,0,0,0,11422
2014,Colorado,Cities,Glendale,1,0,0,0,4558
2014,Colorado,Cities,Glenwood Springs,0,1,1,0,9909
2014,Colorado,Cities,Golden,0,0,0,1,19556
2014,Colorado,Cities,Grand Junction,0,0,1,2,59972
2014,Colorado,Cities,Greenwood Village,1,1,0,1,14824
2014,Colorado,Cities,Gunnison,1,0,0,0,5865
2014,Colorado,Cities,Idaho Springs,0,1,0,0,1677
2014,Colorado,Cities,Lakewood,0,1,0,0,148236
2014,Colorado,Cities,Lone Tree,0,0,1,0,13824
2014,Colorado,Cities,Longmont,0,2,1,0,90813
2014,Colorado,Cities,Loveland,1,0,0,0,72465
2014,Colorado,Cities,New Castle,0,0,1,0,4595
2014,Colorado,Cities,Parachute,1,0,0,0,1100
2014,Colorado,Cities,Pueblo,1,1,1,0,108591
2014,Colorado,Cities,Steamboat Springs,1,0,0,2,12114
2014,Colorado,Cities,Sterling,1,1,0,0,14584
2014,Colorado,Universities and Colleges,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Colorado,Universities and Colleges,University of Colorado:, Nan, Nan, Nan, Nan,
2014,Colorado,Universities and Colleges,Boulder,0,1,0,0,32017
2014,Colorado,Universities and Colleges,Colorado Springs,1,0,0,0,11321
2014,Colorado,Metropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Colorado,Metropolitan Counties,Douglas,1,0,0,0,
2014,Colorado,Metropolitan Counties,El Paso,1,0,0,3,
2014,Colorado,Metropolitan Counties,Gilpin,1,0,0,0,
2014,Colorado,Metropolitan Counties,Jefferson,1,0,0,0,
2014,Colorado,Metropolitan Counties,Larimer,0,3,4,1,
2014,Colorado,Metropolitan Counties,Mesa,1,0,0,0,
2014,Colorado,Metropolitan Counties,Teller,0,0,1,0,
2014,Colorado,Nonmetropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Colorado,Nonmetropolitan Counties,La Plata,0,3,0,0,
2014,Colorado,Nonmetropolitan Counties,Montezuma,0,0,1,0,
2014,Colorado,Nonmetropolitan Counties,Summit,0,0,0,1,
2014,Connecticut,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Connecticut,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Connecticut,Cities,Bloomfield,1,1,4,1,20718
2014,Connecticut,Cities,Bridgeport,0,3,2,0,147822
2014,Connecticut,Cities,Bristol,2,0,1,0,60590
2014,Connecticut,Cities,Brookfield,0,1,0,0,16957
2014,Connecticut,Cities,Canton,0,0,1,0,10372
