state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum
,,Bayou Vista,0,0,0,0,"1,584",1
,,Baytown,0,0,0,0,"74,420",1
,,Beaumont,0,0,0,0,"120,323",1
,,Bee Cave,0,0,0,0,"4,137",1
,,Beeville,0,0,0,0,"13,179",1
,,Bellaire,0,0,0,0,"17,481",1
,,Bellmead,0,0,0,0,"10,212",1
,,Bellville,0,0,0,0,"4,193",1
,,Belton,0,0,0,0,"18,763",1
,,Benbrook,0,0,0,0,"22,040",1
,,Bertram,0,0,0,0,"1,384",1
,,Beverly Hills,0,0,0,0,"2,056",1
,,Big Sandy,0,0,0,0,"1,380",1
,,Big Spring,0,0,0,0,"27,774",1
,,Bishop,0,0,0,0,"3,211",1
,,Blanco,0,0,0,0,"1,781",1
,,Bloomburg,0,0,0,0,406,1
,,Blue Mound,0,0,0,0,"2,484",1
,,Boerne,0,0,0,0,"11,047",1
,,Bogata,0,0,0,0,"1,157",1
,,Bonham,0,0,0,0,"10,288",1
,,Borger,0,0,0,0,"13,438",1
,,Bovina,0,0,0,0,"1,906",1
,,Bowie,0,0,0,0,"5,293",1
,,Brady,0,0,0,0,"5,616",1
,,Brazoria,0,0,0,0,"3,133",1
,,Breckenridge,0,0,0,0,"5,815",1
,,Bremond,0,0,0,0,950,1
,,Brenham,0,0,0,0,"15,988",1
,,Bridge City,0,0,0,0,"8,020",1
,,Bridgeport,0,0,0,0,"6,138",1
,,Brookshire,0,0,0,0,"4,865",1
,,Brookside Village,0,0,0,0,"1,581",1
,,Brownfield,0,0,0,0,"9,820",1
,,Brownsville,0,0,0,0,"181,102",1
,,Brownwood,0,0,0,0,"19,618",1
,,Bruceville-Eddy,0,0,0,0,"1,521",1
,,Bryan,0,0,0,0,"78,479",1
,,Buda,0,0,0,0,"7,797",1
,,Bullard,0,0,0,0,"2,546",1
,,Bulverde,0,0,0,0,"4,852",1
,,Burnet,0,0,0,0,"6,128",1
,,Cactus,0,0,0,0,"3,234",1
,,Caddo Mills,0,0,0,0,"1,364",1
,,Caldwell,0,0,0,0,"4,180",1
,,Calvert,0,0,0,0,"1,218",1
,,Cameron,0,0,0,0,"5,621",1
,,Canton,0,0,0,0,"3,637",1
,,Canyon,0,0,0,0,"13,773",1
,,Carrollton,0,0,0,0,"124,477",1
,,Carthage,0,0,0,0,"6,954",1
,,Castle Hills,0,0,0,0,"4,280",1
,,Castroville,0,0,0,0,"2,740",1
,,Cedar Hill,0,0,0,0,"46,633",1
,,Cedar Park,0,0,0,0,"52,051",1
,,Celina,0,0,0,0,"6,350",1
,,Childress,0,0,0,0,"6,149",1
,,Chillicothe,0,0,0,0,723,1
,,Cibolo,0,0,0,0,"19,580",1
,,Cisco,0,0,0,0,"3,972",1
,,Clarksville,0,0,0,0,"3,285",1
,,Cleveland,0,0,0,0,"7,847",1
