state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population
,,National City,1,0,0,0,"56,270"
,,Newark,0,1,1,1,"42,099"
,,Newport Beach,0,1,0,0,"81,882"
,,Norwalk,2,1,0,0,"102,221"
,,Novato,3,1,0,1,"54,009"
,,Oakland,3,3,6,3,"409,723"
,,Oakley,0,1,1,0,"33,556"
,,Oceanside,0,1,5,0,"173,901"
,,Ontario,0,1,1,0,"172,814"
,,Oxnard,1,2,1,5,"189,051"
,,Pacifica,0,2,0,0,"37,917"
,,Pacific Grove,0,0,0,1,"14,537"
,,Palmdale,1,3,1,1,"146,819"
,,Palm Springs,2,8,3,3,"48,696"
,,Palo Alto,0,1,1,0,"60,288"
,,Paradise,0,0,0,1,"26,424"
,,Paramount,1,0,0,0,"54,914"
,,Parlier,0,1,0,0,"13,532"
,,Pasadena,1,0,1,1,"144,496"
,,Patterson,0,0,1,0,"19,938"
,,Perris,1,1,0,0,"58,622"
,,Petaluma,0,1,0,0,"55,168"
,,Pico Rivera,0,0,0,1,"62,783"
,,Placentia,0,1,0,0,"50,237"
,,Pleasant Hill,0,1,0,0,"33,048"
,,Pomona,0,1,2,2,"152,673"
,,Poway,0,1,0,0,"50,010"
,,Rancho Cucamonga,0,1,0,1,"176,686"
,,Rancho Palos Verdes,0,0,3,0,"40,905"
,,Rancho Santa Margarita,0,0,1,0,"49,665"
,,Red Bluff,0,1,0,0,"13,836"
,,Redding,3,1,1,0,"91,414"
,,Redlands,1,0,0,0,"70,552"
,,Redondo Beach,2,2,1,2,"66,985"
,,Redwood City,0,1,0,0,"74,355"
,,Richmond,0,3,1,1,"103,442"
,,Ridgecrest,0,0,1,0,"25,973"
,,Ripon,0,3,0,1,"15,271"
,,Riverbank,2,0,0,0,"21,241"
,,Riverside,6,2,6,7,"301,859"
,,Rohnert Park,1,2,2,0,"40,843"
,,Rolling Hills Estates,0,0,1,0,"7,841"
,,Roseville,1,1,1,0,"119,755"
,,Sacramento,5,7,8,5,"472,469"
,,San Bernardino,0,2,0,0,"199,214"
,,San Bruno,0,0,1,1,"41,517"
,,San Diego,11,13,13,12,"1,313,433"
,,San Francisco,18,10,18,17,"818,594"
,,San Jacinto,0,1,0,0,"39,703"
,,San Jose,4,4,9,7,"970,252"
,,San Juan Capistrano,0,0,1,0,"35,241"
,,San Leandro,0,1,5,5,"78,447"
,,San Luis Obispo,1,2,0,0,"44,008"
,,San Marcos,1,1,3,0,"83,671"
,,San Mateo,0,0,1,0,"92,724"
,,San Pablo,0,1,0,0,"31,122"
,,San Rafael,1,1,1,2,"55,832"
