state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum,,,,
,Other Agencies,,,,,,,0,,,,
,,Department of Parks and Recreation: Northern Buttes,1,0,0,0,,0,,,,
,,Los Angeles Transportation Services Bureau,1,4,3,3,,0,,,,
,,Port of San Diego Harbor,0,0,0,1,,0,,,,
,,Santa Clara Transit District,1,0,0,0,,0,,,,
,,San Francisco Bay Area Rapid Transit:,,,,,,0,,,,
,,Alameda County,0,1,2,0,,0,,,,
,,Contra Costa County,0,2,0,0,,0,,,,
,,San Francisco County,2,1,0,0,,0,,,,
,,San Mateo County,0,0,1,0,,0,,,,
,,Stockton Unified School District,1,0,0,0,,0,,,,
Colorado,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Aspen,0,0,1,0,"6,734",0,,,,
,,Aurora,1,0,1,1,"336,952",0,,,,
,,Berthoud,1,0,0,0,"5,278",0,,,,
,,Boulder,0,1,0,0,"100,257",0,,,,
,,Canon City,0,0,1,1,"16,727",0,,,,
,,Centennial,1,1,1,0,"104,022",0,,,,
,,Colorado Springs,0,5,7,6,"432,287",0,,,,
,,Craig,0,0,5,0,"9,357",0,,,,
,,Denver,11,8,13,13,"628,545",0,,,,
,,Durango,0,1,1,0,"17,305",0,,,,
,,Englewood,0,1,1,0,"31,358",0,, ,,
,,Fort Collins,0,0,1,1,"148,792",0,,,,
,,Fountain,0,0,3,1,"26,841",0,,,,
,,Frisco,0,1,0,0,"2,717",0,,,,
,,Glendale,0,0,1,2,"4,493",0,,,,
,,Glenwood Springs,0,0,1,2,"9,727",0,,,,
,,Grand Junction,1,0,3,0,"59,516",0,,,,
,,Greeley,3,1,2,0,"96,276",0,,,,
,,Hotchkiss,,1,0,0,942,0,,,,
,,Johnstown,0,0,1,0,"10,259",0,,,,
,,Lafayette,0,1,3,4,"25,209",0,,,,
,,La Junta,0,0,1,0,"7,187",0,,,,
,,Lakewood,0,0,0,2,"146,404",0,,,,
,,Littleton,2,0,0,0,"43,229",0,,,,
,,Lone Tree,1,3,2,1,"88,925",0,,,,
,,Longmont,4,3,0,0,"69,147",0,,,,
,,Meeker,0,0,1,0,"2,554",0,,,,
,,Monument,0,2,0,0,"5,744",0,,,,
,,Parker,0,1,0,0,"47,004",0,,,,
,,Pueblo,2,1,0,0,"109,065",0,,,,
,,Sheridan,0,0,1,0,"5,871",0,,,,
,,Steamboat Springs,0,1,0,0,"12,116",0,,,,
,,Sterling,2,0,0,0,"14,929",0,,,,
,,Telluride,0,1,0,0,"2,401",0,,,,
,,Westminster,0,0,0,1,"109,461",0,,,,
,,Wheat Ridge3,1,1,1,0,"30,886",0,,,,
,,Windsor,0,1,1,0,"19,330",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Auraria Higher Education Center4,0,0,0,1,,0,,,,
,,Colorado State University: Fort Collins,0,1,1,1,"30,467",0,,,,
,,University of Northern Colorado,0,0,1,0,"13,038",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Adams,0,1,1,1,,0,,,,
,,Arapahoe,2,0,4,0,,0,,,,
,,Jefferson,3,0,2,1,,0,,,,
,,Larimer,3,0,1,2,,0,,,,
,,Mesa,1,1,0,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Bent,0,0,1,0,,0,,,,
,,Chaffee,1,1,0,0,,0,,,,
,,Kit Carson,0,0,1,0,,0,,,,
,,Montrose,0,1,1,0,,0,,,,
,,Summit,1,0,1,0,,0,,,,
Connecticut,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Berlin,0,1,0,0,"19,935",0,,,,
,,Bloomfield,0,0,1,0,"20,557",0,,,,
,,Bridgeport,0,2,1,3,"146,030",0,,,,
,,Bristol,0,1,0,0,"60,688",0,,,,
,,Canton,0,0,1,0,"10,328",0,,,,
,,Coventry,1,1,0,0,"12,451",0,,,,
,,Derby,0,0,0,1,"12,917",0,,,,
,,Enfield,1,0,1,2,"44,806",0,,,,
,,Glastonbury,0,0,1,0,"34,547",0,,,,
,,Groton,0,0,1,0,"10,397",0,,,,
,,Groton Town,2,0,1,0,"29,231",0,,,,
,,Hamden,0,0,1,0,"61,032",0,,,,
,,Hartford,2,1,1,0,"125,203",0,,,,
,,Manchester,6,4,3,3,"58,444",0,,,,
,,Middletown,1,2,2,0,"47,878",0,,,,
,,Milford,0,1,,1,"52,817",0,,,,
,,Naugatuck,0,0,0,1,"31,896",0,,,,
,,New Britain,0,0,1,0,"73,458",0,,,,
,,New Canaan,0,1,0,0,"19,992",0,,,,
,,New Haven,5,1,4,2,"129,934",0,,,,
,,Newington,0,1,0,0,"30,668",0,,,,
,,New London,2,0,3,1,"27,643",0,,,,
,,New Milford,0,1,0,0,"28,047",0,,,,
,,Newtown,1,0,0,0,"27,904",0,,,,
,,Norwalk,0,1,0,1,"86,693",0,,,,
,,Norwich,3,2,0,0,"40,517",0,,,,
,,Old Saybrook,0,0,1,1,"10,293",0,,,,
,,Orange,1,0,0,0,"13,971",0,,,,
,,Seymour,1,1,1,1,"16,558",0,,,,
,,Shelton,0,1,0,0,"40,062",0,,,,
,,Simsbury,0,1,0,0,"23,591",0,,,,
,,Southington,1,2,1,2,"43,219",0,,,,
,,Stamford,1,1,2,2,"124,201",0,,,,
,,Stonington,0,0,2,1,"18,556",0,,,,
,,Stratford,2,1,0,0,"52,041",0,,,,
,,Torrington,1,1,3,3,"36,264",0,,,,
,,Wallingford,2,1,4,0,"45,183",0,,,,
,,Waterbury,3,0,3,0,"110,486",0,,,,
,,West Hartford,1,0,1,1,"63,487",0,,,,
,,West Haven,1,1,0,0,"55,626",0,,,,
,,Windsor,0,0,0,1,"29,145",0,,,,
,,Windsor Locks,0,1,0,0,"12,541",0,,,,
,,Wolcott,0,1,0,0,"16,697",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Central Connecticut State University,1,0,0,0,"12,521",0,,,,
,,University of Connecticut: Storrs: Avery Point: and Hartford4,0,0,2,0,,0,,,,
,,Western Connecticut State University,3,1,0,0,"6,407",0,,,,
,State Police Agencies,,,,,,,0,,,,
,,Connecticut State Police,2,1,0,1,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Metropolitan Transportation Authority,0,0,1,0,,0,,,,
Delaware,Total,,,,,,,0,,,,
