state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum,,,,
,,Bells,0,1,0,0,"2,452",0,,,,
,,Bluff City,0,0,0,1,"1,753",0,,,,
,,Brighton,0,0,0,1,"2,769",0,,,,
,,Chapel Hill,1,0,0,0,"1,470",0,,,,
,,Chattanooga,3,5,8,4,"171,541",0,,,,
,,Clarksville,1,4,1,0,"137,356",0,,,,
,,Cleveland,1,0,0,1,"42,068",0,,,,
,,Columbia,1,0,0,0,"35,203",0,,,,
,,Dyersburg,3,1,1,2,"17,223",0,,,,
,,Elkton,0,0,0,2,581,0,,,,
,,Franklin,1,0,0,0,"64,848",0,,,,
,,Goodlettsville,0,1,0,1,"16,310",0,,,,
,,Hendersonville,0,0,1,0,"52,781",0,,,,
,,Jackson,0,1,0,0,"65,725",0,,,,
,,Jamestown,5,11,5,9,"1,982",0,,,,
,,Johnson City3,2,2,2,0,"64,342",0,,,,
,,Kingsport,2,1,1,0,"49,639",0,,,,
,,Knoxville,3,5,13,4,"182,254",0,,,,
,,La Follette,0,1,0,0,"7,481",0,,,,
,,Lexington,0,0,1,0,"7,755",0,,,,
,,Lebanon,1,0,0,0,"26,991",0,,,,
,,Lenoir City,0,1,1,0,"8,836",0,,,,
,,Lookout Mountain,0,0,0,1,"1,871",0,,,,
,,Mason,0,0,1,0,"1,626",0,,,,
,,Memphis,11,15,16,19,"657,436",0,,,,
,,Milan,1,0,0,1,"7,955",0,,,,
,,Millington,1,1,0,0,"10,342",0,,,,
,,Morristown,1,0,0,0,"29,617",0,,,,
,,Murfreesboro,0,1,0,1,"112,247",0,,,,
,,Nashville,0,1,3,6,"620,886",0,,,,
,,Pigeon Forge,1,0,0,0,"6,024",0,,,,
,,Pikeville,0,0,2,7,"1,619",0,,,,
,,Red Bank,0,1,0,1,"11,906",0,,,,
,,Sevierville,0,0,1,1,"15,161",0,,,,
,,Sharon,0,0,1,0,950,0,,,,
,,Smyrna,0,1,0,0,"41,284",0,,,,
,,Soddy-Daisy,0,0,0,1,"12,989",0,,,,
,,South Carthage,0,0,1,0,"1,332",0,,,,
,,Spring Hill,1,0,1,2,"29,981",0,,,,
,,Union City,0,1,0,0,"10,978",0,,,,
,,White House,1,0,0,1,"10,505",0,,,,
,,Winchester,1,0,0,0,"8,272",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Middle Tennessee State University,1,0,0,0,"26,442",0,,,,
,,Vanderbilt University,1,0,0,0,"12,836",0,,,,
,,University of Tennessee:,,,,,,0,,,,
,,Health Science Center4,0,0,0,1,,0,,,,
,,Knoxville,0,2,0,0,"30,194",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Blount,1,1,1,1,,0,,,,
,,Campbell,0,0,1,0,,0,,,,
,,Cheatham,0,0,0,1,,0,,,,
,,Grainger,0,0,1,0,,0,,,,
,,Hamilton,2,2,1,0,,0,,,,
,,Knox,1,0,0,1,,0,,,,
,,Loudon,0,0,1,0,,0,,,,
,,Montgomery,0,1,0,1,,0,,,,
,,Robertson,0,1,1,1,,0,,,,
,,Rutherford,0,1,0,0,,0,,,,
,,Shelby,4,3,6,3,,0,,,,
,,Sullivan,1,0,1,1,,0,,,,
,,Sumner,1,0,0,0,,0,,,,
,,Tipton,1,0,0,1,,0,,,,
,,Washington,0,1,1,0,,0,,,,
,,Williamson,1,0,0,0,,0,,,,
,,Wilson,0,0,0,2,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Bledsoe,0,0,0,2,,0,,,,
,,Carroll,0,1,1,0,,0,,,,
,,Claiborne,1,0,0,0,,0,,,,
,,Giles,0,2,0,0,,0,,,,
,,Haywood,0,1,0,0,,0,,,,
,,Lauderdale,0,0,1,0,,0,,,,
,,Lawrence,0,1,0,0,,0,,,,
,,Moore,1,0,0,0,,0,,,,
,,Rhea,0,1,0,0,,0,,,,
,,Scott,2,8,3,3,,0,,,,
,,Van Buren,0,1,0,0,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Department of Safety,0,0,0,1,,0,,,,
,,Drug Task Force: 23rd Judicial District,2,0,0,2,,0,,,,
Texas,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Allen,0,1,0,0,"88,783",0,,,,
,,Amarillo,1,0,0,0,"196,576",0,,,,
,,Bedford,0,1,0,0,"48,763",0,,,,
,,Denison,0,1,2,0,"23,125",0,,,,
,,Denton,0,1,1,0,"118,942",0,,,,
,,Forney,0,0,1,0,"15,174",0,,,,
,,Fort Worth,3,4,3,4,"770,101",0,,,,
,,Lancaster,2,0,0,0,"37,653",0,,,,
,,Lewisville,1,1,2,0,"100,216",0,,,,
,,Longview,1,1,0,0,"82,554",0,,,,
,,McKinney,2,2,2,0,"138,105",0,,,,
,,Pearland,1,1,1,0,"94,702",0,,,,
,,Plano,0,3,0,1,"273,816",0,,,,
,,Rowlett,0,0,0,1,"58,324",0,,,,
,,San Angelo,0,0,0,2,"95,960",0,,,,
,,Temple,0,0,0,1,"68,194",0,,,,
,,Tyler,0,1,0,0,"100,040",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Texas A&M University: Commerce,0,0,0,1,"11,417",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Kaufman,0,1,0,0,,0,,,,
,,Lubbock,0,0,0,1,,0,,,,
Utah,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Bountiful,1,2,1,4,"43,888",0,,,,
,,Brigham City,1,0,1,0,"18,255",0,,,,
,,Centerville,0,1,1,0,"15,807",0,,,,
,,Clinton,0,0,1,0,"21,064",0,,,,
,,Draper,7,0,3,0,"43,600",0,,,,
,,Helper,0,0,0,1,"2,219",0,,,,
,,Hurricane,1,0,0,1,"14,284",0,,,,
,,Kanab,0,0,0,1,"4,450",0,,,,
,,Kaysville,0,0,1,0,"28,153",0,,,,
,,Logan,0,0,1,0,"49,672",0,,,,
,,Murray,1,1,1,0,"48,276",0,,,,
,,North Salt Lake,1,0,1,0,"16,831",0,,,,
,,Pleasant Grove,0,0,1,0,"34,900",0,,,,
,,Price,2,0,0,1,"8,799",0,,,,
,,Provo,0,1,1,0,"116,879",0,,,,
,,Salt Lake City,0,0,0,2,"192,465",0,,,,
,,South Jordan,0,1,1,0,"52,071",0,,,,
,,South Salt Lake,0,0,2,0,"24,340",0,,,,
,,St. George,0,1,0,0,"75,780",0,,,,
,,Syracuse,0,1,0,0,"25,090",0,,,,
,,Tooele,1,0,0,2,"32,641",0,,,,
,,Tremonton,0,1,1,1,"7,799",0,,,,
,,West Bountiful,0,2,0,0,"5,429",0,,,,
,,West Jordan,1,3,0,0,"107,103",0,,,,
,,West Valley,0,1,2,1,"133,725",0,,,,
,,Willard,0,0,0,1,"1,806",0,,,,
,,Woods Cross,0,1,0,0,"10,066",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Utah State University,1,1,0,0,"26,757",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Davis,0,0,0,1,,0,,,,
,,Salt Lake County Unified Police Department,2,4,2,3,,0,,,,
,,Tooele,1,0,0,0,,0,,,,
,,Washington,0,1,0,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Daggett,0,1,0,0,,0,,,,
,,Summit,0,0,0,1,,0,,,,
,State Police Agencies,,,,,,,0,,,,
,,Utah Highway Patrol,3,6,2,3,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Utah Transit Authority,1,0,2,1,,0,,,,
Vermont,Total,,,,,,,0,,,,
,Cities,,, ,,,,0,,,,
,,Burlington,0,1,3,1,"42,616",0,,,,
,,Dover,1,0,0,0,"1,116",0,,,,
,,Fair Haven,0,0,2,0,"2,716",0,,,,
,,Morristown,0,1,0,0,"5,273",0,,,,
,,South Burlington,0,0,0,2,"18,005",0,,,,
,,Winooski,1,0,0,0,"7,307",0,,,,
Virginia,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Blacksburg,0,0,0,1,"43,070",0,,,,
,,Blackstone,0,1,1,0,"3,656",0,,,,
,,Chesapeake,4,2,3,1,"227,531",0,,,,
,,Christiansburg,0,0,1,0,"21,262",0,,,,
,,Colonial Heights,0,1,0,0,"17,632",0,,,,
,,Emporia,0,1,0,0,"5,936",0,,,,
,,Front Royal,0,1,1,1,"14,718",0,,,,
,,Galax,0,1,0,0,"7,060",0,,,,
,,Harrisonburg,1,0,2,0,"50,524",0,,,,
,,Herndon,0,0,0,1,"23,966",0,,,,
,,Lynchburg,0,0,0,2,"77,347",0,,,,
,,Manassas,0,1,3,0,"39,733",0,,,,
,,Newport News,1,0,1,0,"181,591",0,,,,
,,Norfolk,1,0,1,0,"245,303",0,,,,
,,Portsmouth,0,0,0,1,"96,739",0,,,,
,,Radford,1,0,0,1,"16,595",0,,,,
,,Richmond,1,1,3,0,"207,799",0,,,,
,,Roanoke,1,3,1,0,"97,780",0,,,,
,,Virginia Beach,2,0,0,0,"447,588",0,,,,
,,Waynesboro,0,0,1,1,"21,546",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,George Mason University,0,1,0,0,"33,320",0,,,,
,,Old Dominion University,1,1,1,1,"24,753",0,,,,
,,Radford University,0,0,1,0,"9,370",0,,,,
,,University of Virginia,0,0,0,1,"24,297",0,,,,
,,Virginia Polytechnic Institute and State University,0,0,0,1,"30,936",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Albemarle County Police Department,0,5,4,2,,0,,,,
,,Amherst,0,0,1,1,,0,,,,
,,Arlington County Police Department,0,0,1,0,,0,,,,
,,Augusta,0,0,1,0,,0,,,,
,,Campbell,0,0,0,1,,0,,,,
,,Chesterfield County Police Department,2,2,4,1,,0,,,,
,,Fairfax County Police Department,6,7,3,1,,0,,,,
,,Gloucester,0,0,0,2,,0,,,,
,,Henrico County Police Department,0,2,0,2,,0,,,,
,,James City County Police Department,1,1,0,0,,0,,,,
,,Loudoun,0,2,1,0,,0,,,,
,,New Kent,0,0,0,1,,0,,,,
,,Prince George County Police Department,1,0,0,0,,0,,,,
,,Roanoke County Police Department,2,0,0,0,,0,,,,
,,Spotsylvania,0,0,4,0,,0,,,,
,,Stafford,1,3,3,0,,0,,,,
,,York,2,0,0,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Accomack,0,0,1,0,,0,,,,
,,Essex,0,1,0,0,,0,,,,
,,Prince Edward,0,0,2,0,,0,,,,
,,Richmond,0,0,1,0,,0,,,,
Washington,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Aberdeen,1,1,0,0,"17,000",0,,,,
,,Anacortes,0,0,0,1,"16,097",0,,,,
,,Bellevue,1,1,1,0,"126,022",0,,,,
,,Bellingham,2,2,5,1,"82,665",0,,,,
,,Black Diamond,0,0,1,0,"4,279",0,,,,
,,Bothell,0,1,1,0,"34,389",0,,,,
,,Burien,1,2,0,1,"34,310",0,,,,
,,Cheney,0,2,0,0,"10,747",0,,,,
,,Edmonds,1,0,0,0,"40,609",0,,,,
,,Ellensburg,0,1,0,0,"18,649",0,,,,
,,Everett,0,1,1,0,"105,318",0,,,,
,,Federal Way,2,1,1,1,"91,978",0,,,,
,,Ferndale,0,0,1,0,"11,677",0,,,,
,,Fircrest,0,1,0,0,"6,637",0,,,,
,,Kennewick,1,0,0,0,"76,971",0,,,,
,,Kent,0,1,0,2,"122,102",0,,,,
,,Kirkland,1,3,2,1,"50,243",0,,,,
,,Lake Forest Park,0,1,0,0,"12,975",0,,,,
,,Lakewood,0,0,2,0,"59,416",0,,,,
,,Longview,2,2,1,1,"37,032",0,,,,
,,Lynden,1,0,0,0,"12,223",0,,,,
,,Lynnwood,0,0,1,0,"36,647",0,,,,
,,Mercer Island,0,1,0,1,"23,381",0,,,,
,,Mill Creek,0,1,0,0,"18,661",0,,,,
,,Monroe,0,0,0,1,"17,665",0,,,,
,,Mount Vernon,1,0,0,0,"32,384",0,,,,
,,Newcastle,0,0,1,0,"10,692",0,,,,
,,Oak Harbor,1,0,0,1,"22,457",0,,,,
,,Omak,0,1,1,0,"4,929",0,,,,
,,Orting,0,1,0,0,"6,890",0,,,,
,,Port Angeles,0,0,1,1,"19,342",0,,,,
,,Port Townsend,0,0,0,1,"9,219",0,,,,
,,Poulsbo,1,0,0,0,"9,428",0,,,,
,,Pullman,1,1,0,0,"30,206",0,,,,
,,Puyallup,0,0,0,1,"37,821",0,,,,
,,Redmond,0,0,0,1,"55,770",0,,,,
,,Renton,1,2,3,3,"93,722",0,,,,
,,Seattle,12,24,32,17,"626,865",0,,,,
,,Sequim,1,0,0,0,"6,710",0,,,,
,,Shoreline,1,0,1,0,"54,574",0,,,,
,,Spokane,3,1,1,1,"212,163",0,,,,
,,Spokane Valley,1,1,2,0,"91,164",0,,,,
,,Sumner,1,0,0,0,"9,656",0,,,,
,,Sunnyside,0,1,0,0,"16,271",0,,,,
,,Tacoma,3,4,2,4,"202,646",0,,,,
,,University Place,0,2,0,0,"31,820",0,,,,
,,Vancouver,2,2,4,3,"166,375",0,,,,
,,Wapato,1,0,0,0,"5,123",0,,,,
,,Yakima,0,1,0,0,"93,419",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,University of Washington,3,3,6,4,"42,444",0,,,,
,,Washington State University: Pullman,0,1,2,0,"27,329",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Benton,1,0,0,0,,0,,,,
,,Chelan,0,3,0,0,,0,,,,
,,Clark,0,0,1,2,,0,,,,
,,Cowlitz,0,1,0,0,,0,,,,
,,Douglas,0,1,0,0,,0,,,,
,,King,1,4,1,0,,0,,,,
,,Kitsap,0,0,1,0,,0,,,,
,,Pend Oreille,0,0,0,1,,0,,,,
,,Pierce,1,1,1,1,,0,,,,
,,Snohomish,1,0,,,,0,,,,
,,Stevens,0,1,0,0,,0,,,,
,,Thurston,1,0,2,0,,0,,,,
,,Walla Walla,0,0,0,1,,0,,,,
,,Yakima,0,1,2,1,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Clallam,0,0,1,1,,0,,,,
,,Mason,1,0,2,1,,0,,,,
,,Pacific,1,0,1,0,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Port of Seattle,1,0,0,0,,0,,,,
West Virginia,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Beckley,2,1,0,1,"17,675",0,,,,
,,Clarksburg,0,1,1,1,"16,649",0,,,,
,,Elkins,1,0,0,0,"7,108",0,,,,
,,Fairmont,0,0,0,1,"18,764",0,,,,
,,Huntington,1,1,1,0,"49,254",0,,,,
,,Martinsburg,0,1,0,0,"17,487",0,,,,
,,Morgantown,1,0,0,0,"30,294",0,,,,
,,Weirton,1,0,0,0,"19,652",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,West Liberty University,0,0,1,0,"2,789",0,,,,
,,West Virginia Tech,1,0,0,0,"1,316",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Brooke,0,0,1,0, ,0,,,,
,,Fayette,0,0,1,0,,0,,,,
,,Hancock,1,0,0,1,,0,,,,
,,Kanawha,1,1,1,0,,0,,,,
,,Wayne,0,0,0,1,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Nicholas,0,1,1,0,,0,,,,
Wisconsin,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Appleton,1,3,4,0,"73,431",0,,,,
,,Caledonia,0,1,0,0,"24,764",0,,,,
,,Fond du Lac,0,2,0,0,"43,319",0,,,,
,,La Crosse,0,0,1,1,"51,851",0,,,,
,,Madison,3,4,3,2,"237,508",0,,,,
,,Milwaukee,4,1,2,7,"599,395",0,,,,
,,Minocqua,0,0,0,1,"4,372",0,,,,
,,Oak Creek,0,0,1,0,"34,715",0,,,,
,,Rhinelander,0,1,0,0,"7,776",0,,,,
,,River Falls,0,0,0,1,"14,927",0,,,,
,,Seymour,0,1,0,0,"3,481",0,,,,
,,Sheboygan,1,1,1,0,"49,261",0,,,,
,,Waukesha,0,0,0,1,"71,049",0,,,,
,,Wausau,1,0,0,0,"39,313",0,,,,
,,West Allis,0,1,0,0,"60,870",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,University of Wisconsin: Platteville,0,1,0,5,"8,262",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Dane,1,0,0,0,,0,,,,
,,Iowa,0,0,0,1,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Burnett,0,1,2,0,,0,,,,
,,Grant,0,0,0,1,,0,,,,
,,Juneau,1,1,2,1,,0,,,,
,,Lincoln,0,1,0,0,,0,,,,
Wyoming,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Rawlins,0,1,0,0,"9,337",0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Sublette,0,1,0,0,,0,,,,
