state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,,
,,Hamden,0,0,0,1,"61,599",,,
,,Manchester2,2,2,1,2,"58,204",,,
,,Meriden,0,0,1,0,"60,352",,,
,,Middlebury,0,0,0,1,"7,569",,,
,,Middletown,3,1,0,2,"47,256",,,
,,Milford,0,1,1,1,"53,222",,,
,,New Britain,0,0,0,1,"72,864",,,
,,New Haven,2,4,0,2,"130,882",,,
,,Newington,1,0,0,0,"30,803",,,
,,New Milford,0,2,0,0,"27,681",,,
,,Newtown,1,1,1,0,"28,243",,,
,,North Haven,0,0,1,0,"23,901",,,
,,Norwalk,0,0,2,0,"88,232",,,
,,Norwich,1,0,0,0,"40,296",,,
,,Old Saybrook,0,3,1,0,"10,249",,,
,,Plainfield,0,0,1,0,"15,186",,,
,,Plymouth,1,0,0,0,"12,002",,,
,,Redding,0,1,0,1,"9,348",,,
,,Seymour,0,1,1,0,"16,579",,,
,,Shelton,0,0,0,1,"41,353",,,
,,Southington,0,1,0,1,"43,786",,,
,,Stamford,0,0,3,6,"127,385",,,
,,Stratford,1,1,2,0,"52,279",,,
,,Torrington,1,0,1,0,"35,432",,,
,,Vernon,0,1,2,1,"29,158",,,
,,Wallingford,0,0,0,1,"45,137",,,
,,Waterbury,0,3,1,0,"109,495",,,
,,Watertown,0,1,0,0,"22,161",,,
,,West Hartford,0,0,0,1,"63,360",,,
,,West Haven,0,1,0,0,"54,917",,,
,,Wilton,0,0,1,0,"18,807",,,
,,Winchester,0,0,0,2,"10,960",,,
,,Windsor,0,1,0,0,"29,154",,,
,,Woodbridge,0,0,0,1,"8,945",,,
,Universities and Colleges,,,,,,,,,
,,Southern Connecticut State University,1,0,0,0,"10,804",,,
,,University of Connecticut: Storrs: Avery Point and Hartford3,0,0,0,2,,,,
,State Police Agencies,,,,,,,,,
,,Connecticut State Police,2,0,3,0,,,,
Delaware,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Camden,0,0,1,0,"3,518",,,
,,Newark,0,0,0,1,"32,813",,,
,,Rehoboth Beach,0,0,1,0,"1,416",,,
,,Wilmington,0,1,1,0,"71,713",,,
,Metropolitan Counties,,,,,,,,,
,,New Castle County Police Department,0,0,2,1,,,,
,State Police Agencies,,,,,,,,,
,,State Police: ,,,,,,,,
,,Kent County,1,0,0,0,,,,
,,New Castle County,0,1,1,0,,,,
,,Sussex County,0,0,1,0,,,,
,Other Agencies,,,,,,,,,
,,State Fire Marshal,0,0,0,1,,,,
District of Columbia,Total,,,,,,,,,
,Cities, ,,,,,,,,
,,Washington2,15,17,25,11,"658,893",,,
,Other Agencies,,,,,,,,,
,,Metro Transit Police,0,0,1,1,,,,
Florida,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Cape Coral,0,1,0,0,"168,712",,,
,,Clewiston,0,0,1,0,"7,141",,,
,,Coral Gables,0,0,0,1,"50,316",,,
,,Delray Beach,0,0,1,0,"64,917",,,
,,Gainesville,0,1,0,0,"128,185",,,
,,Jupiter,0,0,0,1,"59,039",,,
,,Kissimmee,0,1,0,1,"66,623",,,
,,Largo,0,0,0,1,"78,502",,,
,,Margate,0,0,1,0,"55,982",,,
,,Miami Beach,2,0,4,0,"91,771",,,
,,Miramar,0,1,0,0,"132,352",,,
,,North Miami,0,0,0,1,"61,501",,,
,,North Miami Beach,0,1,1,0,"43,657",,,
,,Ocoee,0,0,0,1,"40,029",,,
,,Orlando,0,2,3,0,"259,675",,,
,,Oviedo,1,0,0,0,"37,467",,,
,,Palm Bay,0,0,1,0,"105,287",,,
,,Pensacola,0,0,0,1,"52,873",,,
,,Port St. Lucie,0,0,0,1,"172,453",,,
,,Temple Terrace,0,1,0,0,"25,335",,,
,,Titusville,0,1,0,0,"44,310",,,
,,Weston,0,0,0,1,"69,129",,,
,,West Palm Beach,1,0,3,1,"103,028",,,
,,Winter Garden,0,1,0,0,"38,454",,,
,Metropolitan Counties,,,,,,,,,
,,Alachua,0,0,0,1,,,,
,,Charlotte,0,1,0,0,,,,
,,Clay,0,0,1,1,,,,
,,Highlands,0,0,1,0,,,,
,,Lee,2,0,0,1,,,,
,,Manatee,0,0,2,2,,,,
,,Orange,1,1,1,0,,,,
,,Pasco,0,0,0,1,,,,
,,Seminole,0,0,1,0,,,,
,,Sumter,0,0,0,3,,,,
,,Volusia,2,0,1,0,,,,
,,Wakulla,0,0,0,2,,,,
,,Walton,1,0,0,0,,,,
Georgia,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Atlanta,5,3,5,0,"454,363",,,
,Metropolitan Counties,,,,,,,,,
,,Cobb County Police Department,5,5,10,4,,,,
,,Gwinnett County Police Department,1,1,0,0,,,,
,,Henry County Police Department,0,1,0,1,,,,
Idaho,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Boise,2,3,5,2,"216,260",,,
,,Coeur d'Alene,0,0,1,0,"46,952",,,
,,Jerome,0,0,1,0,"11,064",,,
,,Lewiston,1,0,0,0,"32,521",,,
,,Nampa,0,0,2,2,"87,735",,,
,,Payette,0,0,1,0,"7,417",,,
,,Pocatello,0,0,1,0,"54,360",,,
,Metropolitan Counties,,,,,,,,,
,,Ada,0,0,0,1,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Cassia,0,1,1,0,,,,
,,Teton,0,0,1,0,,,,
Illinois,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Addison,0,0,1,0,"37,480",,,
,,Arlington Heights,0,0,0,1,"76,200",,,
,,Aurora,0,0,3,1,"200,419",,,
,,Bartlett,1,0,0,0,"41,784",,,
,,Batavia,1,0,0,0,"26,445",,,
,,Beardstown,0,1,0,0,"5,919",,,
,,Bloomington,0,1,1,1,"79,451",,,
,,Cairo,0,0,0,1,"2,580",,,
,,Centralia,0,0,0,1,"12,727",,,
,,Chicago,11,17,13,9,"2,724,121",,,
,,Crest Hill,0,0,0,1,"20,763",,,
,,Crystal Lake,1,0,0,0,"40,294",,,
,,De Kalb,1,1,0,0,"43,791",,,
,,Eureka,0,1,0,0,"5,397",,,
,,Galesburg,1,0,0,0,"31,538",,,
,,Glenview,0,1,0,0,"45,588",,,
,,Grayslake,0,1,0,0,"21,132",,,
