Table 13,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,
"per Bias Motivation and Quarter
by State and Agency, 2011",,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Orange,0,0,0,2,0,0,0,1,1,"138,020"
,,Oxnard,1,0,1,2,0,2,1,1,0,"200,225"
,,Pacifica,0,1,1,0,0,1,1,0,0,"37,672"
,,Palmdale,9,0,2,1,0,2,5,5,0,"154,546"
,,Palm Desert,0,0,1,0,0,0,0,0,1,"49,015"
,,Palm Springs,1,3,5,1,0,4,2,0,4,"45,076"
,,Palo Alto,2,2,0,0,0,2,2,0,0,"65,160"
,,Paramount,1,0,0,0,0,0,0,1,0,"54,734"
,,Parlier,1,0,0,0,0,0,1,0,0,"14,664"
,,Patterson,1,0,0,0,0,0,0,0,1,"20,653"
,,Perris,0,0,1,0,0,0,0,1,0,"69,190"
,,Petaluma,1,0,0,0,0,0,1,0,0,"58,622"
,,Pico Rivera,0,0,0,1,0,0,0,1,0,"63,682"
,,Pinole,1,0,0,0,0,0,,1,0,"18,606"
,,Pittsburg,1,0,0,0,0,0,0,1,0,"64,008"
,,Poway,1,1,1,0,0,0,1,0,2,"48,373"
,,Rancho Cordova,0,0,0,1,0,0,1,0,0,"65,538"
,,Rancho Palos Verdes,0,1,0,0,0,1,0,0,0,"42,133"
,,Redding,2,0,0,0,0,1,1,0,0,"90,917"
,,Redondo Beach,3,0,1,1,0,2,2,1,0,"67,533"
,,Rialto,1,0,1,1,0,2,0,0,1,"100,337"
,,Richmond,0,0,0,2,0,0,1,0,1,"104,920"
,,Riverside,13,1,4,6,1,5,4,10,6,"307,443"
,,Rohnert Park,2,0,0,0,0,1,1,0,0,"41,453"
,,Rolling Hills Estates,0,0,0,1,0,1,0,0,0,"8,162"
,,Sacramento,2,3,10,2,0,6,4,4,3,"471,972"
,,Salinas,0,0,1,0,1,0,1,0,1,"152,210"
,,San Bernardino,1,0,0,1,0,0,0,0,2,"212,392"
,,San Bruno,0,1,0,0,0,0,0,1,0,"41,597"
,,San Clemente,1,0,0,0,0,0,0,1,0,"64,269"
,,San Diego,8,11,18,5,0,14,10,10,8,"1,316,919"
,,San Dimas,0,1,0,0,0,0,1,0,0,"33,763"
,,San Francisco,11,10,21,4,0,9,14,14,9,"814,701"
,,San Gabriel,1,0,0,0,0,0,1,0,0,"40,185"
,,Sanger,0,0,1,0,0,0,0,1,0,"24,555"
,,San Jose,10,10,9,2,1,11,11,6,4,"957,062"
,,San Leandro,1,0,0,0,0,0,0,1,0,"85,949"
,,San Luis Obispo,2,0,0,1,0,2,1,0,0,"45,649"
,,San Marcos,1,0,1,1,0,1,0,2,0,"84,766"
,,San Mateo,0,0,2,0,0,0,0,1,1,"98,350"
,,San Pablo,0,1,0,0,0,0,0,0,1,"29,482"
,,San Rafael,3,0,0,0,0,2,1,0,0,"58,391"
,,Santa Ana3,3,1,6,1,1,4,4,1,3,"328,343"
,,Santa Barbara,3,0,0,0,0,1,0,2,0,"89,449"
,,Santa Clarita,3,0,2,3,0,4,1,1,2,"178,393"
,,Santa Cruz,10,2,3,0,0,2,3,6,4,"60,651"
,,Santa Monica,1,3,0,1,0,0,2,1,2,"90,791"
,,Santa Rosa,1,0,0,0,0,0,0,0,1,"169,788"
,,Santee,5,1,0,0,0,2,0,0,4,"54,041"
,,Saratoga,0,0,0,1,0,0,0,0,1,"30,278"
,,Scotts Valley,1,0,1,0,0,0,0,1,1,"11,716"
