Table 13,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,
"by State and Agency, 2013",,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter1,,,,Population2,,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,
Connecticut,Total,,72,20,26,24,3,0,0,,,,,,,
,Cities,,66,18,21,21,3,0,0,,,,,,,
,,Bethel,1,0,0,0,0,0,0,1,0,0,0,"19,338",,
,,Bridgeport,5,1,2,3,0,0,0,2,4,3,2,"147,076",,
,,Canton,0,0,1,0,0,0,0,0,0,1,0,"10,369",,
,,Danbury,0,1,1,1,0,0,0,,2,,1,"83,363",,
,,Derby,1,0,0,0,0,0,0,0,0,0,1,"12,806",,
,,East Hampton,0,2,0,0,0,0,0,0,1,0,1,"12,934",,
,,East Hartford,0,0,1,0,0,0,0,0,1,0,0,"51,275",,
,,East Windsor,1,0,0,0,0,0,0,0,0,1,0,"11,455",,
