Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,,
"by State and Agency, 2014",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter,,,,Population1,, ,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,
,,Davis,2,0,1,0,0,0,0,0,2,1,0,"33,307",,,
,,San Diego,1,0,0,1,0,0,0,0,0,2,0,"29,517",,,
,Metropolitan Counties,,30,9,25,12,0,1,1,,,,,,,,
,,Fresno,0,0,0,1,0,0,0,1,0,0,0,,,,
,,Imperial,0,0,1,0,0,0,0,0,1,0,0,,,,
,,Los Angeles,7,3,3,5,0,0,0,5,7,5,1,,,,
,,Marin,0,1,0,0,0,0,0,0,1,0,0,,,,
,,Merced,0,0,1,0,0,0,0,0,1,0,0,,,,
,,Orange,1,0,1,0,0,0,0,1,1,0,0,,,,
,,Riverside,2,0,1,0,0,0,0,0,1,2,0,,,,
,,Sacramento,1,0,3,0,0,1,1,2,2,2,0,,,,
,,San Bernardino,2,0,2,0,0,0,0,1,0,2,1,,,,
,,San Diego,10,1,4,2,0,0,0,3,6,5,3,,,,
,,San Mateo,1,0,0,0,0,0,0,1,0,0,0,,,,
,,Santa Barbara,1,1,0,0,0,0,0,0,1,1,0,,,,
,,Santa Clara,1,0,3,0,0,0,0,0,1,1,2,,,,
,,Santa Cruz,0,1,2,4,0,0,0,0,4,2,1,,,,
,,Shasta,1,0,0,0,0,0,0,1,0,0,0,,,,
,,Sonoma,0,0,1,0,0,0,0,0,1,0,0,,,,
,,Stanislaus,0,0,1,0,0,0,0,0,0,1,0,,,,
,,Ventura,0,2,1,0,0,0,0,1,1,1,0,,,,
,,Yolo,0,0,1,0,0,0,0,1,0,0,0,,,,
,,Yuba2,3,0,0,0,0,0,0,2,0,0,1,,,,
,Nonmetropolitan Counties,,5,0,2,0,0,0,0,,,,,,,,
,,Amador,0,0,1,0,0,0,0,1,0,0,0,,,,
,,Calaveras,2,0,0,0,0,0,0,1,0,0,1,,,,
,,Glenn,1,0,0,0,0,0,0,1,0,0,0,,,,
,,Humboldt,0,0,1,0,0,0,0,0,1,0,0,,,,
,,Tuolumne,2,0,0,0,0,0,0,0,0,1,1,,,,
,State Police Agencies,,1,0,0,0,0,0,0,,,,,,,,
,,"Highway Patrol, San Diego County",1,0,0,0,0,0,0,0,0,1,0,,,,
,Other Agencies,,14,1,11,6,0,0,0,,,,,,,,
,,"Department of Parks and Recreation, San Diego Coast ",1,0,0,0,0,0,0,0,1,0,0,,,,
,,Los Angeles County Metropolitan Transportation Authority,1,0,0,0,0,0,0,0,0,0,1,,,,
,,Los Angeles Transportation Services Bureau,6,0,5,4,0,0,0,1,3,6,5,,,,
,,Port of San Diego Harbor,1,0,1,1,0,0,0,2,0,0,1,,,,
,,San Francisco Bay Area Rapid Transit: ,,,,,,,,,,,,,,,
,,Alameda County,2,0,4,0,0,0,0,0,4,1,1,,,,
,,Contra Costa County,1,1,1,1,0,0,0,1,2,1,0,,,,
