Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State and Agency, 2015",,,,,,,,,,,,,
State,Agency Type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,San Francisco,10,6,9,0,0,3,8,11,7,2,"863,782"
,,San Jacinto,1,0,0,0,0,0,0,1,0,0,"47,022"
,,San Jose,3,2,1,0,0,0,2,1,0,3,"1,031,458"
,,San Juan Capistrano,0,1,0,0,0,0,0,1,0,0,"36,666"
,,San Leandro,2,1,0,0,0,0,1,0,1,1,"90,438"
,,San Marino,1,0,0,0,0,0,0,0,1,0,"13,491"
,,San Mateo,0,1,1,0,0,0,0,0,0,2,"104,306"
,,Santa Ana,2,5,2,0,0,1,2,3,5,0,"337,304"
,,Santa Barbara,0,0,1,0,0,0,0,1,0,0,"91,877"
,,Santa Clarita,2,1,1,0,0,0,2,1,0,1,"211,132"
,,Santa Cruz,4,1,0,0,0,1,2,1,1,2,"64,076"
,,Santa Monica,0,0,1,0,0,1,0,,2,0,"93,796"
,,Santa Rosa,1,0,1,0,0,0,1,0,0,1,"175,738"
,,Santee,0,0,1,0,0,0,0,0,1,0,"57,934"
,,Scotts Valley,1,0,0,0,0,0,0,0,1,0,"11,926"
,,Seaside,1,0,0,0,0,0,0,1,0,0,"34,459"
,,Selma,0,1,0,0,0,0,0,0,1,0,"24,532"
,,Simi Valley,4,1,0,0,0,0,1,1,1,2,"127,472"
,,Sonoma,1,1,0,0,0,0,0,1,1,0,"11,107"
,,Sonora,0,0,1,0,0,0,0,1,0,0,"4,779"
,,South Gate,0,2,0,0,0,0,0,0,0,2,"96,775"
,,Stockton,1,1,1,0,0,1,1,0,1,2,"304,890"
,,Temecula,1,0,0,0,0,0,0,0,1,0,"111,673"
,,Thousand Oaks,0,2,0,0,0,0,0,1,1,0,"129,976"
,,Torrance,0,1,0,0,0,0,0,1,0,0,"149,243"
,,Tracy,2,1,0,0,0,0,0,1,2,0,"86,477"
,,Turlock,3,2,1,0,0,0,1,1,1,3,"71,895"
,,Upland,1,0,0,0,0,0,0,0,1,0,"76,581"
,,Ventura,2,0,2,0,0,0,1,1,2,0,"110,077"
,,Victorville,0,0,1,0,0,1,1,1,0,0,"123,332"
,,Visalia,2,0,1,0,0,0,1,1,0,1,"130,405"
,,Vista,2,0,1,0,0,0,0,0,3,0,"99,097"
,,Walnut Creek,1,2,1,0,0,0,2,0,1,1,"68,530"
,,West Covina,2,0,0,0,0,0,2,0,0,0,"109,030"
,,West Hollywood,3,0,3,0,0,0,2,1,2,1,"36,256"
,,Westminster,0,1,1,0,0,0,0,1,1,0,"92,640"
,Universities and Colleges,,14,8,4,0,0,2,,,,,
,,"California State Polytechnic University, San Luis Obispo",1,1,0,0,0,0,0,0,0,2,"20,186"
,,California State University:,,,,,,,,,,,
,,Dominguez Hills,1,0,0,0,0,0,0,0,0,1,"14,687"
,,Fullerton,0,0,0,0,0,1,1,0,0,0,"38,128"
,,Northridge,1,0,0,0,0,0,0,0,1,0,"40,131"
,,San Jose,1,0,0,0,0,1,1,0,0,1,"32,713"
,,Humboldt State University,1,1,1,0,0,0,0,1,1,1,"8,485"
,,San Diego State University,1,1,0,0,0,0,0,0,1,1,"33,483"
,,University of California:,,,,,,,,,,,
,,Berkeley,0,2,0,0,0,0,1,0,1,0,"37,565"
,,Davis,2,3,0,0,0,0,0,1,3,1,"34,508"
,,Los Angeles,5,0,2,0,0,0,3,1,2,1,"41,845"
,,Santa Cruz,0,0,1,0,0,0,1,0,0,0,"17,866"
,,Ventura County Community College District,1,0,0,0,0,0,0,0,1,0,"33,956"
,Metropolitan Counties,,43,18,22,2,0,0,,,,,
,,Kern,2,0,2,0,0,0,0,2,1,1,
,,Kings,0,0,1,0,0,0,0,0,0,1,
,,Los Angeles,16,2,9,1,0,0,4,12,8,4,
,,Marin,0,1,0,0,0,0,1,0,0,0,
,,Orange,1,1,0,0,0,0,1,0,0,1,
,,Placer,0,3,0,0,0,0,0,0,3,0,
,,Riverside,1,1,1,0,0,0,0,2,0,1,
,,Sacramento,6,2,0,0,0,0,2,2,3,1,
,,San Bernardino,5,0,1,0,0,0,2,0,2,2,
,,San Diego,8,4,3,0,0,0,4,4,3,4,
,,San Joaquin,0,2,1,0,0,0,0,0,1,2,
,,San Luis Obispo,1,0,1,0,0,0,1,0,1,0,
,,San Mateo,2,0,1,0,0,0,0,0,1,2,
,,Santa Clara,0,1,0,1,0,0,0,1,1,0,
,,Sonoma,1,1,0,0,0,0,0,0,0,2,
,,Stanislaus,0,0,1,0,0,0,1,0,0,0,
,,Ventura,0,0,1,0,0,0,0,1,0,0,
,Nonmetropolitan Counties,,6,1,2,1,0,0,,,,,
,,Amador,1,1,0,0,0,0,0,2,0,0,
,,Calaveras,0,0,1,0,0,0,0,0,0,1,
,,Colusa,1,0,0,0,0,0,0,1,0,0,
,,Del Norte,0,0,0,1,0,0,0,0,0,1,
,,Lake,1,0,1,0,0,0,0,1,1,0,
,,Mendocino,1,0,0,0,0,0,1,0,0,0,
,,Nevada,2,0,0,0,0,0,0,0,2,0,
,Other Agencies,,15,6,5,0,1,0,,,,,
,,"East Bay Regional Parks, Alameda County",0,1,0,0,0,0,0,0,0,1,
,,Los Angeles Transportation Services Bureau,10,1,5,0,1,0,7,7,2,1,
