state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
California,Cities,Rohnert Park,2,0,0,1,"41,326",,
California,Cities,Rolling Hills Estates,0,0,0,1,"8,229",,
California,Cities,Roseville,0,1,0,0,"126,236",,
California,Cities,Sacramento,2,5,6,3,"478,182",,
California,Cities,Salinas,0,0,0,2,"155,742",,
California,Cities,San Bernardino,0,0,2,1,"214,322",,
California,Cities,San Diego,7,10,17,9,"1,349,306",,
California,Cities,San Dimas,1,0,0,0,"33,854",,
California,Cities,San Francisco,4,8,8,4,"833,863",,
California,Cities,San Jose,7,1,2,5,"992,143",,
California,Cities,San Leandro,2,1,2,0,"87,490",,
California,Cities,San Luis Obispo,0,0,2,0,"46,095",,
California,Cities,San Mateo,0,0,1,0,"100,440",,
California,Cities,Santa Ana,0,0,1,0,"332,848",,
California,Cities,Santa Barbara,0,0,1,1,"90,006",,
California,Cities,Santa Clara,0,0,2,0,"120,150",,
California,Cities,Santa Clarita,2,1,1,1,"204,951",,
California,Cities,Santa Cruz,1,0,0,1,"62,517",,
California,Cities,Santa Maria,0,0,0,1,"102,051",,
California,Cities,Santa Rosa,2,1,0,0,"171,564",,
California,Cities,Santee,2,0,1,0,"55,924",,
California,Cities,Saratoga,0,1,0,0,"30,897",,
California,Cities,Simi Valley,1,0,2,0,"126,215",,
California,Cities,Sonora,0,0,1,0,"4,774",,
California,Cities,South Gate,1,0,1,0,"95,591",,
California,Cities,South Lake Tahoe,0,0,1,0,"21,243",,
California,Cities,Stanton,0,1,0,0,"39,128",,
California,Cities,Stockton,1,0,0,1,"299,796",,
California,Cities,Sunnyvale,0,1,0,0,"148,160",,
California,Cities,Taft,1,0,0,0,"8,839",,
California,Cities,Tehachapi,1,0,1,0,"13,607",,
California,Cities,Temecula,0,0,1,0,"106,680",,
California,Cities,Temple City,0,0,0,1,"36,269",,
California,Cities,Thousand Oaks,0,0,0,1,"128,884",,
California,Cities,Torrance,0,0,2,0,"147,534",,
California,Cities,Tracy,2,1,3,0,"85,174",,
California,Cities,Turlock,0,0,0,1,"70,075",,
California,Cities,Union City,1,3,1,0,"72,480",,
California,Cities,Vallejo,0,2,0,0,"118,336",,
California,Cities,Ventura,1,0,0,0,"108,204",,
California,Cities,Vernon,0,1,0,0,115,,
California,Cities,Victorville,2,1,2,2,"121,699",,
California,Cities,Visalia,1,1,0,0,"127,824",,
California,Cities,Vista,0,1,0,1,"96,712",,
California,Cities,Walnut Creek,0,0,0,1,"66,149",,
California,Cities,West Covina,3,1,1,1,"107,867",,
California,Cities,West Hollywood,1,1,3,0,"34,902",,
California,Cities,Westlake Village,2,0,0,0,"8,440",,
California,Cities,Westminster,1,1,1,2,"91,885",,
California,Cities,Yorba Linda,0,0,0,1,"67,492",,
California,Cities,Yuba City,0,0,1,0,"65,133",,
California,Cities,Yucca Valley,0,0,1,0,"21,214",,
California,Universities and Colleges,@@DELETE ME@@,,,,,,,
California,Universities and Colleges,California State Polytechnic University:,,,,,,,
California,Universities and Colleges,Pomona,1,0,0,0,"22,156",,
California,Universities and Colleges,San Luis Obispo,1,0,0,0,"18,679",,
California,Universities and Colleges,California State University:,,,,,,,
California,Universities and Colleges,Dominguez Hills,1,0,1,0,"13,933",,
California,Universities and Colleges,Long Beach,0,1,0,0,"36,279",,
California,Universities and Colleges,San Bernardino,2,0,1,0,"18,234",,
California,Universities and Colleges,San Jose,1,1,1,1,"30,448",,
California,Universities and Colleges,San Marcos,1,0,0,0,"10,610",,
California,Universities and Colleges,Stanislaus,0,0,0,1,"8,882",,
California,Universities and Colleges,Humboldt State University,0,1,0,0,"8,116",,
California,Universities and Colleges,Marin Community College,2,0,0,0,"7,058",,
California,Universities and Colleges,University of California:,,,,,,,
California,Universities and Colleges,Berkeley,1,1,4,1,"35,893",,
California,Universities and Colleges,Davis,0,3,0,0,"32,354",,
California,Universities and Colleges,Riverside,0,1,1,0,"20,947",,
California,Universities and Colleges,San Diego,0,1,0,0,"28,294",,
California,Universities and Colleges,Santa Cruz,1,0,0,0,"17,404",,
California,Metropolitan Counties,@@DELETE ME@@,,,,,,,
California,Metropolitan Counties,El Dorado,1,0,0,1,,,
California,Metropolitan Counties,Kern,1,3,0,1,,,
California,Metropolitan Counties,Kings,1,0,0,0,,,
California,Metropolitan Counties,Los Angeles,14,10,11,15,,,
