agencyName,agencyType,state,recent_population,zeroCount,dnrCount,reportCount,zeroClass,dnrClass,reportClass,popClass
Arkadelphia,Cities,ARKANSAS,10755,27,0,1,,,,
Arkansas,Nonmetropolitan Counties,ARKANSAS,No Data,27,0,1,,,,
Arkansas City,Cities,ARKANSAS,12085,27,0,1,,,,
Arkoma,Cities,OKLAHOMA,1912,27,0,1,,,,
Arley,Cities,ALABAMA,320,4,0,24,,,,
Arlington,Cities,MASSACHUSETTS,1392,25,2,1,,,,
Arlington County Police Department,Metropolitan Counties,VIRGINIA,No Data,13,0,15,,,,
Arlington Heights,Cities,ILLINOIS,76077,23,3,2,,,,
Arma,Cities,KANSAS,1445,27,0,1,,,,
Armada,Cities,MICHIGAN,1747,27,0,1,,,,
Armagh Township,Cities,Pennsylvania,3813,14,1,13,,,,
Armington,Cities,ILLINOIS,344,12,4,12,,,,
Armour,Cities,South Dakota,700,8,0,20,,,,
Armstrong,Metropolitan Counties,TEXAS,No Data,27,0,1,,,,
Arnegard,Cities,North Dakota,129,7,0,21,,,,
Arnold,Cities,MISSOURI,21461,25,2,1,,,,
Arnolds Park,Cities,Iowa,1255,2,1,25,,,,
Aroostook,Nonmetropolitan Counties,MAINE,No Data,27,0,1,,,,
Arp,Cities,TEXAS,1001,27,0,1,,,,
Arroyo Grande,Cities,CALIFORNIA,18280,26,0,2,,,,
Artesia,Cities,CALIFORNIA,17049,23,3,2,,,,
Arthur,Cities,ILLINOIS,2277,26,1,1,,,,
Arvada,Cities,COLORADO,117186,21,0,7,,,,
Arvin,Cities,CALIFORNIA,21195,25,0,3,,,,
Asbury Park,Cities,NEW JERSEY,15757,17,1,10,,,,
Ascension,Metropolitan Counties,LOUISIANA,No Data,20,3,5,,,,
Ash Flat,Cities,ARKANSAS,1060,27,0,1,,,,
Ash Grove,Cities,MISSOURI,1465,27,0,1,,,,
Asharoken Village,Cities,NEW YORK,653,27,0,1,,,,
Ashburn,Cities,GEORGIA,3757,16,3,9,,,,
Ashburnham,Cities,MASSACHUSETTS,6206,27,0,1,,,,
Ashby,Cities,MASSACHUSETTS,3190,17,3,8,,,,
Ashdown,Cities,Arkansas,4434,23,0,5,,,,
Ashe,Nonmetropolitan Counties,NORTH CAROLINA,No Data,27,0,1,,,,
Asheboro,Cities,NORTH CAROLINA,26230,25,0,3,,,,
Asheville,Cities,NORTH CAROLINA,89546,7,0,21,,,,
Ashfield,Cities,Massachusetts,1748,0,3,25,,,,
Ashford,Cities,ALABAMA,2164,16,0,12,,,,
Ashland,Cities,KENTUCKY,No Data,27,0,1,,,,
Ashland City,Cities,TENNESSEE,4650,26,0,2,,,,
Ashley,Nonmetropolitan Counties,ARKANSAS,2714,24,3,1,,,,
Ashtabula,Nonmetropolitan Counties,Ohio,No Data,18,1,9,,,,
Ashton,Cities,ILLINOIS,906,17,2,9,,,,
Ashville,Cities,ALABAMA,217,22,5,1,,,,
Ashwaubenon,Cities,WISCONSIN,17219,19,0,9,,,,
Asotin,Cities,WASHINGTON,1299,27,0,1,,,,
Aspen,Cities,COLORADO,6926,20,0,8,,,,
Aspinwall,Cities,PENNSYLVANIA,2756,26,1,1,,,,
Assumption,Nonmetropolitan Counties,Louisiana,No Data,19,4,5,,,,
Astatula,Cities,FLORIDA,1844,20,0,8,,,,
Aston Township,Cities,PENNSYLVANIA,16828,26,1,1,,,,
Astoria,Cities,ILLINOIS,9655,6,1,21,,,,
Atascadero,Cities,CALIFORNIA,30108,24,0,4,,,,
Atascosa,Metropolitan Counties,TEXAS,No Data,24,3,1,,,,
Atchison,Cities,KANSAS,No Data,27,0,1,,,,
Atglen,Cities,PENNSYLVANIA,1422,8,0,20,,,,
Athena,Cities,OREGON,1134,18,2,8,,,,
Athens,Cities,OHIO,1094,27,0,1,,,,
Athens Township,Cities,PENNSYLVANIA,5058,19,8,1,,,,
Athens Village,Cities,NEW YORK,1607,15,9,4,,,,
Athens-Clarke County,Cities,GEORGIA,123934,12,5,11,,,,
Atherton,Cities,CALIFORNIA,7218,26,0,2,,,,
Athol,Cities,MASSACHUSETTS,11612,27,0,1,,,,
Atkins,Cities,ARKANSAS,3056,27,0,1,,,,
Atkinson,Nonmetropolitan Counties,Georgia,6817,20,3,5,,,,
Atlanta,Cities,GEORGIA,5594,27,0,1,,,,
Atlantic,Cities,IOWA,6781,25,1,2,,,,
Atlantic Beach,Cities,FLORIDA,394,27,0,1,,,,
Atlantic City,Cities,NEW JERSEY,39202,21,0,7,,,,
Atlantic Highlands,Cities,NEW JERSEY,4297,24,1,3,,,,
Atlantis,Cities,FLORIDA,2069,20,0,8,,,,
Atmore,Cities,ALABAMA,10182,4,0,24,,,,
Atoka,Cities,OKLAHOMA,9176,27,0,1,,,,
Attalla,Cities,ALABAMA,6621,4,0,24,,,,
Attapulgus,Cities,GEORGIA,434,19,1,8,,,,
Attica,Cities,KANSAS,584,27,0,1,,,,
Attica Village,Cities,NEW YORK,2457,24,3,1,,,,
Attleboro,Cities,MASSACHUSETTS,44225,20,0,8,,,,
Atwater,Cities,CALIFORNIA,1122,26,0,2,,,,
Atwood,Cities,ILLINOIS,1187,27,0,1,,,,
Au Gres,Cities,Michigan,853,5,2,21,,,,
Au Gres-Sims,Cities,MICHIGAN,1982,7,1,20,,,,
Aubrey,Cities,Texas,3527,23,0,5,,,,
Auburn,Cities,NEW YORK,5368,25,2,1,,,,
Auburn Hills,Cities,MICHIGAN,22933,18,0,10,,,,
Auburndale,Cities,FLORIDA,14447,20,0,8,,,,
Audrain,Nonmetropolitan Counties,MISSOURI,No Data,26,1,1,,,,
Audubon,Cities,IOWA,8669,27,0,1,,,,
Audubon Park,Cities,KENTUCKY,1004,27,0,1,,,,
Auglaize,Nonmetropolitan Counties,OHIO,No Data,25,0,3,,,,
Augusta,Cities,MAINE,892,27,0,1,,,,
Augusta-Richmond,Metropolitan Counties,GEORGIA,No Data,17,3,8,,,,
Aulander,Cities,NORTH CAROLINA,823,27,0,1,,,,
Ault,Cities,COLORADO,1642,27,0,1,,,,
Aumsville,Cities,OREGON,4101,27,0,1,,,,
Aurora,Cities,COLORADO,1032,25,2,1,,,,
Austell,Cities,GEORGIA,7204,9,6,13,,,,
Austin,Cities,TEXAS,No Data,26,1,1,,,,
Austintown,Cities,OHIO,35680,22,0,6,,,,
Autauga,Metropolitan Counties,ALABAMA,No Data,3,1,24,,,,
Autaugaville,Cities,ALABAMA,891,4,0,24,,,,
Auxvasse,Cities,MISSOURI,985,27,0,1,,,,
Ava,Cities,MISSOURI,2924,27,0,1,,,,
Avalon,Cities,NEW JERSEY,4630,23,4,1,,,,
Avenal,Cities,CALIFORNIA,12941,27,0,1,,,,
Aventura,Cities,FLORIDA,37537,19,0,9,,,,
Avery,Nonmetropolitan Counties,NORTH CAROLINA,No Data,27,0,1,,,,
Avis,Cities,Pennsylvania,1513,22,1,5,,,,
Aviston,Cities,ILLINOIS,2108,27,0,1,,,,
Avoca,Cities,PENNSYLVANIA,625,27,0,1,,,,
Avon,Cities,COLORADO,567,27,0,1,,,,
Avon Lake,Cities,Ohio,23625,3,0,25,,,,
Avon Park,Cities,FLORIDA,8829,20,0,8,,,,
Avon Village,Cities,NEW YORK,3308,19,0,9,,,,
Avon-by-the-Sea,Cities,NEW JERSEY,1774,26,1,1,,,,
Avondale,Cities,ARIZONA,1426,22,3,3,,,,
Avondale Estates,Cities,GEORGIA,3175,20,3,5,,,,
Avonmore Boro,Cities,PENNSYLVANIA,976,26,1,1,,,,
Avoyelles,Nonmetropolitan Counties,Louisiana,No Data,1,5,22,,,,
Ayden,Cities,NORTH CAROLINA,5078,27,0,1,,,,
Ayer,Cities,MASSACHUSETTS,8078,27,0,1,,,,
Aynor,Cities,SOUTH CAROLINA,689,27,0,1,,,,
Azle,Cities,TEXAS,11854,27,0,1,,,,
Aztec,Cities,NEW MEXICO,6839,6,2,20,,,,
Azusa,Cities,CALIFORNIA,50393,14,0,14,,,,
Babbitt,Cities,Minnesota,1528,11,0,17,,,,
Baca,Nonmetropolitan Counties,COLORADO,No Data,27,0,1,,,,
Bad Axe,Cities,MICHIGAN,2989,27,0,1,,,,
Baden,Cities,PENNSYLVANIA,4018,21,6,1,,,,
Badin,Cities,NORTH CAROLINA,1983,27,0,1,,,,
Bailey,Cities,NORTH CAROLINA,No Data,25,2,1,,,,
Baileyton,Cities,TENNESSEE,431,27,0,1,,,,
Baileyville,Cities,MAINE,1444,25,0,3,,,,
Bainbridge,Cities,Georgia,12473,7,0,21,,,,
Bainbridge Island,Cities,WASHINGTON,23998,24,0,4,,,,
Bainbridge Township,Cities,OHIO,11566,22,2,4,,,,
Bainbridge Village,Cities,NEW YORK,1320,18,1,9,,,,
Baird,Cities,TEXAS,1481,27,0,1,,,,
Baker,Metropolitan Counties,FLORIDA,2063,27,0,1,,,,
Bakersfield,Cities,CALIFORNIA,378788,11,0,17,,,,
Bakersville,Cities,NORTH CAROLINA,450,27,0,1,,,,
Bal Harbour Village,Cities,FLORIDA,2636,20,0,8,,,,
Balch Springs,Cities,TEXAS,25474,27,0,1,,,,
Balcones Heights,Cities,TEXAS,3366,27,0,1,,,,
Bald Head Island,Cities,NORTH CAROLINA,174,27,0,1,,,,
Bald Knob,Cities,ARKANSAS,2910,27,0,1,,,,
Baldwin,Nonmetropolitan Counties,ALABAMA,2344,19,8,1,,,,
