Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
2010,,,San Ramon,0,2,0,0,50006
2010,,,Santa Ana,0,1,1,2,340240
2010,,,Santa Barbara,1,0,2,0,85967
2010,,,Santa Clarita,1,2,3,0,170458
2010,,,Santa Cruz,4,3,3,1,56860
2010,,,Santa Maria,0,0,1,1,87803
2010,,,Santa Monica,0,0,1,0,87817
2010,,,Santa Rosa,0,0,1,1,158182
2010,,,Santee,3,0,0,1,55533
2010,,,Scotts Valley,1,0,0,0,11243
2010,,,Shafter,0,0,1,0,16247
2010,,,Sierra Madre,1,0,0,1,10796
2010,,,Simi Valley,0,2,0,2,121755
2010,,,Soledad,0,2,0,0,28655
2010,,,Sonoma,0,0,0,1,10068
2010,,,Sonora,0,1,0,0,4627
2010,,,South Gate,0,0,1,0,96182
2010,,,South Lake Tahoe,0,1,0,3,23540
2010,,,Stanton,2,0,0,0,37912
2010,,,Stockton,2,0,0,0,292047
2010,,,Sunnyvale,1,0,0,2,134073
2010,,,Tehachapi,1,0,0,0,12137
2010,,,Temecula,1,0,0,1,102474
2010,,,Temple City,1,0,0,0,38648
2010,,,Thousand Oaks,1,1,2,0,124042
2010,,,Torrance,1,0,1,1,140411
2010,,,Tracy,1,1,0,0,81712
2010,,,Truckee,0,1,0,0,16491
2010,,,Turlock,0,1,0,1,69961
2010,,,Tustin,0,1,0,1,72982
2010,,,Union City,0,0,1,1,73356
2010,,,Upland,0,1,1,0,73341
2010,,,Vacaville,0,0,1,1,92177
2010,,,Vallejo,1,2,1,2,114258
2010,,,Ventura,2,1,2,1,104661
2010,,,Visalia,0,0,3,2,125036
2010,,,Vista,1,0,1,1,92765
2010,,,Walnut Creek,0,0,1,1,63897
2010,,,Watsonville,0,0,3,0,51488
2010,,,West Covina,1,0,1,0,105395
2010,,,West Hollywood,1,3,3,2,35885
2010,,,Westminster,2,2,2,1,89604
2010,,,Whittier,0,0,1,0,81611
2010,,,Yorba Linda,0,0,1,0,66813
2010,,Universities and Colleges,,,,,,
2010,,,Allan Hancock College,1,1,0,0,11070
2010,,,"California State Polytechnic University, Pomona",2,1,0,0,22273
2010,,,California State University:,,,,,
2010,,,Channel Islands,0,0,0,1,3862
2010,,,Dominguez Hills,0,1,0,0,14477
2010,,,Fresno,0,0,1,0,21500
2010,,,Fullerton,0,1,0,0,36262
2010,,,Long Beach,0,1,0,0,35557
2010,,,Northridge,0,0,2,1,35198
2010,,,San Bernardino,1,0,0,0,17852
2010,,,San Marcos,6,4,0,0,9767
2010,,,Riverside Community College,0,0,0,1,36586
2010,,,San Diego State University,0,1,0,0,32817
2010,,,University of California:,,,,,
2010,,,Berkeley,3,6,4,2,35830
2010,,,Davis,2,1,0,2,31247
2010,,,Los Angeles,1,1,0,1,38550
2010,,,Riverside,1,0,0,1,19384
2010,,,San Diego,3,1,1,0,28418
2010,,,San Francisco,0,0,1,0,3119
2010,,,Santa Cruz,0,0,2,0,16775
2010,,Metropolitan Counties,,,,,,
2010,,,Butte,0,0,1,0,
2010,,,Contra Costa,0,0,0,2,
2010,,,El Dorado,0,0,1,0,
2010,,,Kern,1,1,1,2,
2010,,,Los Angeles,9,7,12,13,
2010,,,Madera,0,0,1,0,
2010,,,Monterey,0,0,1,0,
2010,,,Orange,1,0,1,1,
2010,,,Riverside,5,2,2,1,
2010,,,Sacramento,5,2,2,4,
2010,,,San Bernardino,0,1,1,0,
2010,,,San Diego,6,8,10,4,
2010,,,San Joaquin,0,0,1,0,
2010,,,San Mateo,1,0,0,0,
2010,,,Santa Barbara,0,1,0,0,
2010,,,Santa Clara,1,1,1,0,
2010,,,Santa Cruz,0,0,0,1,
2010,,,Shasta,1,0,0,0,
2010,,,Sonoma,1,0,0,1,
2010,,,Stanislaus,0,1,1,0,
2010,,,Ventura,0,0,1,0,
2010,,Nonmetropolitan Counties,,,,,,
2010,,,Colusa,0,0,1,0,
2010,,,Lake,1,1,2,0,
2010,,,Mariposa,0,0,1,0,
2010,,,Mendocino,2,0,1,1,
2010,,Other Agencies,,,,,,
2010,,,Los Angeles Transportation Services Bureau,0,1,2,3,
2010,,,"San Francisco Bay Area Rapid Transit, San Francisco County",0,0,0,1,
2010,,,Santa Clara Transit District,0,1,2,1,
2010,COLORADO,Total,,,,,,
2010,,Cities,,,,,,
2010,,,Arvada,0,0,1,0,107227
2010,,,Aspen,1,1,0,1,6012
2010,,,Aurora,1,3,1,0,323483
2010,,,Boulder,0,0,2,1,99255
2010,,,Breckenridge,0,0,0,1,3557
2010,,,Centennial,1,1,1,0,98902
2010,,,Colorado Springs,3,4,2,6,397886
2010,,,Commerce City,0,1,1,1,46771
2010,,,Denver,14,5,11,13,607051
2010,,,Evans,0,0,0,1,20440
2010,,,Florence,0,0,0,1,3533
2010,,,Fort Collins,3,2,1,1,138689
2010,,,Frederick,0,0,1,0,9196
2010,,,Fruita,1,0,0,0,12848
2010,,,Golden,2,0,0,0,17226
2010,,,Grand Junction,0,0,3,0,59029
2010,,,Greeley,2,1,0,0,92804
2010,,,Greenwood Village,0,1,0,0,14430
2010,,,Lafayette,0,1,1,0,26055
2010,,,Lakewood,0,1,0,0,139615
2010,,,Littleton,1,0,0,0,40544
2010,,,Longmont,0,0,3,0,88913
2010,,,Louisville,0,1,0,0,19429
2010,,,Loveland,1,1,2,0,66857
2010,,,Montrose,0,0,1,0,18758
2010,,,Monument,0,1,0,0,5257
