Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2,,,,
,,Cities,,,,,,,,,,
,,,Arvada,0,0,1,1,110792,,,,
,,,Aurora,1,3,0,2,343484,,,,
,,,Castle Rock,0,0,0,2,52309,,,,
,,,Centennial,2,2,1,1,104771,,,,
,,,Colorado Springs,2,4,1,0,436108,,,,
,,,Commerce City,0,0,1,0,49200,,,,
,,,Denver,3,13,9,5,648981,,,,
,,,Dillon,0,1,0,0,906,,,,
,,,Durango,1,0,1,0,17303,,,,
,,,Englewood,0,0,0,2,31454,,,,
,,,Erie,1,0,0,0,19627,,,,
,,,Fountain,2,1,0,0,27163,,,,
,,,Glendale,1,0,0,0,4502,,,,
,,,Glenwood Springs,0,0,1,0,9715,,,,
,,,Golden,0,0,0,1,19334,,,,
,,,Grand Junction,1,1,2,1,60167,,,,
,,,Greeley,0,0,0,1,96111,,,,
,,,Greenwood Village,0,1,0,0,14614,,,,
,,,Lafayette,0,1,2,0,26145,,,,
,,,Lakewood,1,1,0,2,146298,,,,
,,,Littleton,1,0,0,0,44375,,,,
,,,Lone Tree,0,0,1,0,12056,,,,
,,,Longmont,2,1,0,0,89434,,,,
,,,Loveland,0,1,0,0,71325,,,,
,,,Monument,0,0,1,0,5800,,,,
,,,Pueblo,0,0,1,1,108062,,,,
,,,Rifle,1,0,0,0,9306,,,,
,,,Snowmass Village,1,0,0,0,2851,,,,
,,,Steamboat Springs,0,0,1,0,12008,,,,
,,,Telluride,0,0,1,0,2313,,,,
,,,Thornton,0,0,1,2,125775,,,,
,,,Westminster,1,0,0,0,110093,,,,
,,Universities and Colleges,,,,,,,,,,
,,,"Colorado State University, Fort Collins",0,0,0,1,30659,,,,
,,,"University of Colorado, Boulder",0,0,0,2,31945,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Adams,1,0,2,0,,,,,
,,,Arapahoe,6,0,2,0,,,,,
,,,El Paso,0,0,1,1,,,,,
,,,Larimer,0,0,0,2,,,,,
,,,Mesa,1,0,0,0,,,,,
,,,Park,0,1,0,0,,,,,
,,,Pueblo,0,0,1,0,,,,,
,,,Weld,1,0,1,0,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Cheyenne,1,0,0,0,,,,,
,,,Garfield,0,1,0,1,,,,,
,,,Logan,0,0,1,1,,,,,
,,,Montezuma,1,0,0,0,,,,,
,,,Pitkin,0,0,0,1,,,,,
,,State Police Agencies,,,,,,,,,,
,,,Colorado State Patrol,0,0,0,1,,,,,
,Connecticut,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Bethel,1,0,0,0,19338,,,,
,,,Bridgeport,2,4,3,2,147076,,,,
,,,Canton,0,0,1,0,10369,,,,
,,,Danbury,,2,,1,83363,,,,
,,,Derby,0,0,0,1,12806,,,,
,,,East Hampton,0,1,0,1,12934,,,,
,,,East Hartford,0,1,0,0,51275,,,,
,,,East Windsor,0,0,1,0,11455,,,,
,,,Enfield,,1,,,44661,,,,
,,,Glastonbury,1,0,0,0,34782,,,,
,,,Groton,0,1,1,0,9359,,,,
,,,Groton Town,0,1,1,0,29946,,,,
,,,Guilford,,,1,,22409,,,,
,,,Hamden,0,1,0,0,60829,,,,
,,,Hartford,2,1,1,0,124927,,,,
,,,Manchester,2,2,4,2,58304,,,,
,,,Meriden,1,1,,1,60558,,,,
,,,Middletown,0,3,1,3,47221,,,,
,,,Milford,,2,4,,53041,,,,
,,,New Britain,1,,,,73134,,,,
,,,New Haven,3,2,4,1,131071,,,,
,,,Newington,,,1,2,30612,,,,
,,,New London,3,0,0,0,27738,,,,
,,,New Milford,0,1,0,0,27743,,,,
,,,North Branford,2,0,0,0,14369,,,,
,,,Norwalk,0,0,3,0,87590,,,,
,,,Norwich,,,1,,40485,,,,
,,,Old Saybrook,0,1,0,2,10239,,,,
,,,Plainville,,,,1,17850,,,,
,,,Plymouth,0,1,1,0,12043,,,,
,,,Southington,3,2,2,0,43542,,,,
,,,South Windsor,,1,,,25871,,,,
,,,Stamford,2,2,1,3,125876,,,,
,,,Stratford,0,1,1,1,52285,,,,
,,,Suffield,0,0,1,0,15908,,,,
,,,Torrington,1,3,1,0,35634,,,,
,,,Wallingford,1,1,2,0,45185,,,,
,,,Waterbury,3,1,2,0,109763,,,,
,,,West Haven,,,1,,55349,,,,
,,,Willimantic,1,0,0,0,17839,,,,
,,,Winchester,2,0,0,0,11019,,,,
,,,Windsor Locks,0,1,0,0,12560,,,,
,,,Wolcott,0,1,0,0,16735,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Central Connecticut State University,0,0,0,1,12091,,,,
,,,Southern Connecticut State University,1,1,0,0,11117,,,,
,,,"University of Connecticut, Storrs, Avery Point, and Hartford4",2,1,1,1,,,,,
,,,Yale University,,,,1,11906,,,,
,,State Police Agencies,,,,,,,,,,
,,,Connecticut State Police,2,1,4,0,,,,,
,Delaware,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Dover,0,0,1,0,37402,,,,
,,,Milford,0,2,0,0,9872,,,,
,,,Milton,1,0,0,0,2687,,,,
,,,New Castle,0,0,1,0,5388,,,,
,,,Seaford,0,0,1,0,7241,,,,
,,,Smyrna,1,0,0,0,10900,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Delaware State University,0,1,0,0,4324,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,New Castle County Police Department,0,1,0,0,,,,,
,,State Police Agencies,,,,,,,,,,
,,,State Police:,,,,,,,,,
,,,Kent County,1,0,0,0,,,,,
