year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookatMe,
, Nan,State Police Agencies, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Colorado State Patrol,0,0,0,1, Nan, Nan,
,Connecticut,Total, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Bethel,1,0,0,0,19338, Nan,
, Nan, Nan,Bridgeport,2,4,3,2,147076, Nan,
, Nan, Nan,Canton,0,0,1,0,10369, Nan,
, Nan, Nan,Danbury, Nan,2, Nan,1,83363, Nan,
, Nan, Nan,Derby,0,0,0,1,12806, Nan,
, Nan, Nan,East Hampton,0,1,0,1,12934, Nan,
, Nan, Nan,East Hartford,0,1,0,0,51275, Nan,
, Nan, Nan,East Windsor,0,0,1,0,11455, Nan,
, Nan, Nan,Enfield, Nan,1, Nan, Nan,44661, Nan,
, Nan, Nan,Glastonbury,1,0,0,0,34782, Nan,
, Nan, Nan,Groton,0,1,1,0,9359, Nan,
, Nan, Nan,Groton Town,0,1,1,0,29946, Nan,
, Nan, Nan,Guilford, Nan, Nan,1, Nan,22409, Nan,
, Nan, Nan,Hamden,0,1,0,0,60829, Nan,
, Nan, Nan,Hartford,2,1,1,0,124927, Nan,
, Nan, Nan,Manchester,2,2,4,2,58304, Nan,
, Nan, Nan,Meriden,1,1, Nan,1,60558, Nan,
, Nan, Nan,Middletown,0,3,1,3,47221, Nan,
, Nan, Nan,Milford, Nan,2,4, Nan,53041, Nan,
, Nan, Nan,New Britain,1, Nan, Nan, Nan,73134, Nan,
, Nan, Nan,New Haven,3,2,4,1,131071, Nan,
, Nan, Nan,Newington, Nan, Nan,1,2,30612, Nan,
, Nan, Nan,New London,3,0,0,0,27738, Nan,
, Nan, Nan,New Milford,0,1,0,0,27743, Nan,
, Nan, Nan,North Branford,2,0,0,0,14369, Nan,
, Nan, Nan,Norwalk,0,0,3,0,87590, Nan,
, Nan, Nan,Norwich, Nan, Nan,1, Nan,40485, Nan,
, Nan, Nan,Old Saybrook,0,1,0,2,10239, Nan,
, Nan, Nan,Plainville, Nan, Nan, Nan,1,17850, Nan,
, Nan, Nan,Plymouth,0,1,1,0,12043, Nan,
, Nan, Nan,Southington,3,2,2,0,43542, Nan,
, Nan, Nan,South Windsor, Nan,1, Nan, Nan,25871, Nan,
, Nan, Nan,Stamford,2,2,1,3,125876, Nan,
, Nan, Nan,Stratford,0,1,1,1,52285, Nan,
, Nan, Nan,Suffield,0,0,1,0,15908, Nan,
, Nan, Nan,Torrington,1,3,1,0,35634, Nan,
, Nan, Nan,Wallingford,1,1,2,0,45185, Nan,
, Nan, Nan,Waterbury,3,1,2,0,109763, Nan,
, Nan, Nan,West Haven, Nan, Nan,1, Nan,55349, Nan,
, Nan, Nan,Willimantic,1,0,0,0,17839, Nan,
, Nan, Nan,Winchester,2,0,0,0,11019, Nan,
, Nan, Nan,Windsor Locks,0,1,0,0,12560, Nan,
, Nan, Nan,Wolcott,0,1,0,0,16735, Nan,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Central Connecticut State University,0,0,0,1,12091, Nan,
, Nan, Nan,Southern Connecticut State University,1,1,0,0,11117, Nan,
, Nan, Nan,"University of Connecticut, Storrs, Avery Point, and Hartford4",2,1,1,1, Nan, Nan,
, Nan, Nan,Yale University, Nan, Nan, Nan,1,11906, Nan,
, Nan,State Police Agencies, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Connecticut State Police,2,1,4,0, Nan, Nan,
,Delaware,Total, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Dover,0,0,1,0,37402, Nan,
, Nan, Nan,Milford,0,2,0,0,9872, Nan,
, Nan, Nan,Milton,1,0,0,0,2687, Nan,
, Nan, Nan,New Castle,0,0,1,0,5388, Nan,
, Nan, Nan,Seaford,0,0,1,0,7241, Nan,
, Nan, Nan,Smyrna,1,0,0,0,10900, Nan,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Delaware State University,0,1,0,0,4324, Nan,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,New Castle County Police Department,0,1,0,0, Nan, Nan,
, Nan,State Police Agencies, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,State Police:, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Kent County,1,0,0,0, Nan, Nan,
, Nan, Nan,New Castle County,0,1,0,0, Nan, Nan,
