year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
, Nan, Nan,Orange,1,0,0,1,,
, Nan, Nan,Placer,0,0,3,0,,
, Nan, Nan,Riverside,0,2,0,1,,
, Nan, Nan,Sacramento,2,2,3,1,,
, Nan, Nan,San Bernardino,2,0,2,2,,
, Nan, Nan,San Diego,4,4,3,4,,
, Nan, Nan,San Joaquin,0,0,1,2,,
, Nan, Nan,San Luis Obispo,1,0,1,0,,
, Nan, Nan,San Mateo,0,0,1,2,,
, Nan, Nan,Santa Clara,0,1,1,0,,
, Nan, Nan,Sonoma,0,0,0,2,,
, Nan, Nan,Stanislaus,1,0,0,0,,
, Nan, Nan,Ventura,0,1,0,0,,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Amador,0,2,0,0,,
, Nan, Nan,Calaveras,0,0,0,1,,
, Nan, Nan,Colusa,0,1,0,0,,
, Nan, Nan,Del Norte,0,0,0,1,,
, Nan, Nan,Lake,0,1,1,0,,
, Nan, Nan,Mendocino,1,0,0,0,,
, Nan, Nan,Nevada,0,0,2,0,,
, Nan,Other Agencies, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,"East Bay Regional Parks, Alameda County",0,0,0,1,,
, Nan, Nan,Los Angeles Transportation Services Bureau,7,7,2,1,,
, Nan, Nan,Port of San Diego Harbor,0,0,0,1,,
, Nan, Nan,San Francisco Bay Area Rapid Transit: , Nan, Nan, Nan, Nan,,
, Nan, Nan,Alameda County,1,2,0,0,,
, Nan, Nan,Contra Costa County,1,0,1,0,,
, Nan, Nan,San Francisco County,0,1,0,0,,
, Nan, Nan,San Mateo County,1,0,0,1,,
,Colorado,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Arvada,1,0,1,0,115379,
, Nan, Nan,Aspen,0,0,0,1,6841,
, Nan, Nan,Aurora,0,2,2,2,360237,
, Nan, Nan,Basalt,0,0,1,0,3937,
, Nan, Nan,Boulder,1,0,0,0,106823,
, Nan, Nan,Breckenridge,0,1,0,0,4804,
, Nan, Nan,Castle Rock,0,0,1,0,57699,
, Nan, Nan,Centennial,0,1,0,0,108846,
, Nan, Nan,Colorado Springs,2,2,3,1,452410,
, Nan, Nan,Craig,0,1,0,0,8698,
, Nan, Nan,Denver,3,8,6,3,682418,
, Nan, Nan,Durango,0,2,0,0,18095,
, Nan, Nan,Englewood,0,0,1,0,33037,
, Nan, Nan,Fort Collins,1,1,2,0,159629,
, Nan, Nan,Glenwood Springs,0,1,0,1,9914,
, Nan, Nan,Golden,1,0,0,0,20448,
, Nan, Nan,Grand Junction,0,1,1,0,60508,
, Nan, Nan,Greeley,0,0,1,0,99993,
, Nan, Nan,Greenwood Village,1,1,0,1,15760,
, Nan, Nan,La Junta,0,1,0,0,6926,
, Nan, Nan,Littleton,0,1,0,0,45363,
, Nan, Nan,Longmont,1,0,1,0,91222,
, Nan, Nan,Loveland,0,0,1,1,74139,
, Nan, Nan,Pueblo,3,2,0,4,108810,
, Nan, Nan,Sterling,1,0,0,0,14574,
, Nan, Nan,Trinidad,0,1,0,0,7995,
, Nan, Nan,Walsenburg,0,1,1,0,2861,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Auraria Higher Education Center2,1,0,0,0,,
, Nan, Nan,University of Colorado:, Nan, Nan, Nan, Nan,,
, Nan, Nan,Boulder,0,1,0,0,32432,
, Nan, Nan,Colorado Springs,0,0,0,1,11761,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Adams,0,0,1,0,,
, Nan, Nan,Arapahoe,1,1,3,4,,
, Nan, Nan,Boulder,0,1,3,0,,
, Nan, Nan,El Paso,0,1,0,0,,
, Nan, Nan,Jefferson,0,1,0,0,,
, Nan, Nan,Larimer,1,1,0,0,,
, Nan, Nan,Mesa,0,1,0,0,,
, Nan, Nan,Pueblo,0,1,0,0,,
, Nan, Nan,Weld,0,0,2,0,,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Garfield,0,2,0,0,,
, Nan, Nan,La Plata,1,0,0,0,,
, Nan, Nan,Pitkin,1,0,0,0,,
,Connecticut,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Bethel,0,0,0,1,19560,
, Nan, Nan,Bloomfield,0,0,2,0,20901,
, Nan, Nan,Bridgeport,1,3,1,1,148313,
, Nan, Nan,Bristol,0,1,0,1,60593,
, Nan, Nan,Cheshire,0,1,0,0,29245,
, Nan, Nan,Danbury,1,1,1,1,84404,
, Nan, Nan,Derby,0,0,1,0,12735,
, Nan, Nan,Groton Town,0,1,0,0,30387,
, Nan, Nan,Guilford, Nan, Nan, Nan,2,22421,
, Nan, Nan,Hartford3, Nan,1,1, Nan,124553,
, Nan, Nan,Manchester, Nan,1, Nan,2,58070,
, Nan, Nan,Meriden, Nan,1,1, Nan,60149,
, Nan, Nan,Middletown,0,1,1,2,46894,
, Nan, Nan,New Britain, Nan, Nan,1, Nan,72788,
, Nan, Nan,New Haven,1,4,2,1,130403,
, Nan, Nan,Newington, Nan, Nan, Nan,1,30714,
, Nan, Nan,New London,0,0,0,1,27312,
, Nan, Nan,New Milford,1,0,0,0,27317,
, Nan, Nan,North Branford,1,0,0,0,14300,
, Nan, Nan,North Haven,0,0,1,0,23865,
, Nan, Nan,Norwalk,1,0,0,0,88692,
, Nan, Nan,Old Saybrook,1,0,0,0,10213,
, Nan, Nan,Plainfield,0,1,0,0,15071,
, Nan, Nan,Redding,0,0,1,0,9344,
, Nan, Nan,Simsbury,0,0,0,1,24093,
, Nan, Nan,Southington,0,0,1,0,43979,
, Nan, Nan,Stamford,2,1,2,5,129682,
, Nan, Nan,Stonington,1,0,0,0,18505,
, Nan, Nan,Stratford,1,0,1,0,53058,
, Nan, Nan,Suffield,0,0,1,0,15823,
, Nan, Nan,Torrington,0,1,0,3,34910,
, Nan, Nan,Trumbull,0,0,1,2,36708,
, Nan, Nan,Vernon,1,0,0,0,29079,
, Nan, Nan,Wallingford,0,0,1,0,45054,
, Nan, Nan,Waterford,0,0,0,2,19407,
, Nan, Nan,West Hartford,1,0,0,0,63301,
, Nan, Nan,West Haven,0,1,0,1,54741,
, Nan, Nan,Westport,1,1,0,0,27848,
, Nan, Nan,Winchester,2,0,0,1,10855,
, Nan, Nan,Windsor,1,0,0,0,29063,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Central Connecticut State University,1,0,1,0,12037,
, Nan, Nan,"University of Connecticut, Storrs, Avery Point and Hartford2",0,0,1,0,,
, Nan, Nan,Western Connecticut State University,1,0,0,1,5952,
, Nan,State Police Agencies, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Connecticut State Police,1,0,1,1,524558,
,Delaware,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Laurel,0,0,1,0,4051,
, Nan, Nan,Milford,0,0,0,1,10331,
, Nan, Nan,Milton,1,0,0,0,2805,
, Nan, Nan,Wilmington,1,0,0,1,72078,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,New Castle County Police Department,1,1,0,1,,
, Nan,State Police Agencies, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,"State Police, Sussex County",0,2,0,0,,
, Nan,Other Agencies, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Park Rangers,0,1,0,0,,
,District of Columbia,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Washington,13,13,18,20,672228,
, Nan,Other Agencies, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Metro Transit Police,0,1,0,0,,
,Florida,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Clearwater, Nan,2, Nan, Nan,111316,
, Nan, Nan,Coral Springs, Nan, Nan,1, Nan,129631,
, Nan, Nan,Daytona Beach Shores, Nan, Nan,1, Nan,4336,
, Nan, Nan,Deland, Nan, Nan,1, Nan,29773,
, Nan, Nan,Fort Myers, Nan, Nan,1, Nan,73218,
, Nan, Nan,Gainesville, Nan, Nan,2,1,129410,
, Nan, Nan,Melbourne, Nan,1, Nan, Nan,79032,
, Nan, Nan,Miami Beach,6,1,1,4,92641,
, Nan, Nan,Miami Gardens,4,1, Nan,1,113469,
, Nan, Nan,New Port Richey, Nan,1, Nan, Nan,15688,
, Nan, Nan,North Miami, Nan,1, Nan, Nan,62010,
, Nan, Nan,North Palm Beach, Nan, Nan, Nan,1,12597,
, Nan, Nan,North Port,1, Nan, Nan, Nan,61148,
, Nan, Nan,Ocala,1, Nan, Nan, Nan,57891,
, Nan, Nan,Palm Bay,1,2,1, Nan,106469,
, Nan, Nan,Pembroke Pines, Nan, Nan,1,1,167266,
, Nan, Nan,Port St. Lucie, Nan,1, Nan, Nan,176364,
, Nan, Nan,South Daytona, Nan, Nan,1, Nan,12435,
, Nan, Nan,Tallahassee, Nan,1, Nan, Nan,189709,
, Nan, Nan,Venice, Nan, Nan,1, Nan,21980,
, Nan, Nan,West Palm Beach,1, Nan, Nan, Nan,104919,
, Nan, Nan,Winter Garden, Nan, Nan, Nan,1,39783,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,"University of South Florida, Tampa",1, Nan, Nan, Nan,41938,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Charlotte, Nan, Nan, Nan,1,,
, Nan, Nan,Clay, Nan,1,1,1,,
, Nan, Nan,Collier, Nan,1,1, Nan,,
, Nan, Nan,Escambia,1, Nan, Nan,1,,
, Nan, Nan,Lake, Nan, Nan,1, Nan,,
, Nan, Nan,Orange, Nan,1, Nan,2,,
, Nan, Nan,Osceola, Nan, Nan, Nan,1,,
, Nan, Nan,Pasco, Nan,2, Nan, Nan,,
, Nan, Nan,Pinellas, Nan, Nan, Nan,1,,
, Nan, Nan,Seminole, Nan,1, Nan, Nan,,
, Nan, Nan,St. Johns, Nan,2, Nan, Nan,,
, Nan, Nan,Volusia,1,2,2,1,,
, Nan, Nan,Walton, Nan,1, Nan, Nan,,
,Georgia,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Athens-Clarke County,1,0,0,0,120858,
, Nan, Nan,Atlanta,0,4,0,0,464710,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Georgia Institute of Technology,0,0,1,1,23109,
, Nan, Nan,University of Georgia,2,1,0,0,35197,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Cobb County Police Department,5,8,13,4,,
, Nan, Nan,Gwinnett County Police Department,0,0,1,0,,
, Nan, Nan,Henry County Police Department,0,1,1,1,,
,Idaho,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Boise,1,1,2,1,218844,
