Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
, Nan, Nan,"Colorado State University, Fort Collins",0,1,1,1,30467
, Nan, Nan,University of Northern Colorado,0,0,1,0,13038
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Adams,0,1,1,1,
, Nan, Nan,Arapahoe,2,0,4,0,
, Nan, Nan,Jefferson,3,0,2,1,
, Nan, Nan,Larimer,3,0,1,2,
, Nan, Nan,Mesa,1,1,0,0,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Bent,0,0,1,0,
, Nan, Nan,Chaffee,1,1,0,0,
, Nan, Nan,Kit Carson,0,0,1,0,
, Nan, Nan,Montrose,0,1,1,0,
, Nan, Nan,Summit,1,0,1,0,
,Connecticut,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Berlin,0,1,0,0,19935
, Nan, Nan,Bloomfield,0,0,1,0,20557
, Nan, Nan,Bridgeport,0,2,1,3,146030
, Nan, Nan,Bristol,0,1,0,0,60688
, Nan, Nan,Canton,0,0,1,0,10328
, Nan, Nan,Coventry,1,1,0,0,12451
, Nan, Nan,Derby,0,0,0,1,12917
, Nan, Nan,Enfield,1,0,1,2,44806
, Nan, Nan,Glastonbury,0,0,1,0,34547
, Nan, Nan,Groton,0,0,1,0,10397
, Nan, Nan,Groton Town,2,0,1,0,29231
, Nan, Nan,Hamden,0,0,1,0,61032
, Nan, Nan,Hartford,2,1,1,0,125203
, Nan, Nan,Manchester,6,4,3,3,58444
, Nan, Nan,Middletown,1,2,2,0,47878
, Nan, Nan,Milford,0,1, Nan,1,52817
, Nan, Nan,Naugatuck,0,0,0,1,31896
, Nan, Nan,New Britain,0,0,1,0,73458
, Nan, Nan,New Canaan,0,1,0,0,19992
, Nan, Nan,New Haven,5,1,4,2,129934
, Nan, Nan,Newington,0,1,0,0,30668
, Nan, Nan,New London,2,0,3,1,27643
, Nan, Nan,New Milford,0,1,0,0,28047
, Nan, Nan,Newtown,1,0,0,0,27904
, Nan, Nan,Norwalk,0,1,0,1,86693
, Nan, Nan,Norwich,3,2,0,0,40517
, Nan, Nan,Old Saybrook,0,0,1,1,10293
, Nan, Nan,Orange,1,0,0,0,13971
, Nan, Nan,Seymour,1,1,1,1,16558
, Nan, Nan,Shelton,0,1,0,0,40062
, Nan, Nan,Simsbury,0,1,0,0,23591
, Nan, Nan,Southington,1,2,1,2,43219
