year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
2016,California,Universities and Colleges,Davis,1,0,0,0,35186,0
2016,California,Universities and Colleges,Los Angeles,2,0,1,1,41908,0
2016,California,Universities and Colleges,Riverside,1,0,0,0,21385,0
2016,California,Universities and Colleges,San Diego,0,2,0,1,32906,0
2016,California,Universities and Colleges,San Francisco,0,0,0,1,3107,0
2016,California,Universities and Colleges,Santa Cruz,0,0,0,1,17868,0
2016,California,Universities and Colleges,Ventura County Community College District,0,0,0,1,34022,0
2016,California,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,California,Metropolitan Counties,Butte,0,0,1,0,No Data,0
2016,California,Metropolitan Counties,El Dorado,1,0,0,0,No Data,0
2016,California,Metropolitan Counties,Fresno,0,1,0,0,No Data,0
2016,California,Metropolitan Counties,Los Angeles,5,4,6,11,No Data,0
2016,California,Metropolitan Counties,Orange,2,0,0,0,No Data,0
2016,California,Metropolitan Counties,Riverside,0,1,3,1,No Data,0
2016,California,Metropolitan Counties,Sacramento,5,3,1,1,No Data,0
2016,California,Metropolitan Counties,San Bernardino,4,3,0,0,No Data,0
2016,California,Metropolitan Counties,San Diego,1,7,8,2,No Data,0
2016,California,Metropolitan Counties,San Mateo,1,1,1,0,No Data,0
2016,California,Metropolitan Counties,Santa Barbara,0,0,0,1,No Data,0
2016,California,Metropolitan Counties,Santa Clara,1,0,1,0,No Data,0
2016,California,Metropolitan Counties,Shasta,1,1,0,0,No Data,0
2016,California,Metropolitan Counties,Solano,0,0,1,0,No Data,0
2016,California,Metropolitan Counties,Sonoma,0,1,3,0,No Data,0
2016,California,Metropolitan Counties,Sutter,0,0,0,1,No Data,0
2016,California,Metropolitan Counties,Ventura,0,1,1,0,No Data,0
2016,California,Metropolitan Counties,Yuba,0,0,0,2,No Data,0
2016,California,Nonmetropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,California,Nonmetropolitan Counties,Amador,0,0,1,0,No Data,0
2016,California,Nonmetropolitan Counties,Humboldt,0,0,0,1,No Data,0
2016,California,Nonmetropolitan Counties,Lake,0,1,0,0,No Data,0
2016,California,Nonmetropolitan Counties,Mendocino,1,0,0,1,No Data,0
2016,California,Nonmetropolitan Counties,Tuolumne,0,0,1,0,No Data,0
2016,California,Other Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,California,Other Agencies,California State Fair,0,0,1,0,No Data,0
2016,California,Other Agencies,"East Bay Regional Parks, Alameda County",0,0,0,1,No Data,0
2016,California,Other Agencies,Fontana Unified School District,0,0,0,1,No Data,0
2016,California,Other Agencies,Los Angeles Transportation Services Bureau,7,2,3,3,No Data,0
2016,California,Other Agencies,Port of San Diego Harbor,2,0,1,0,No Data,0
2016,California,Other Agencies,San Francisco Bay Area Rapid Transit: ,DNR,DNR,DNR,DNR,No Data,1
2016,California,Other Agencies,Alameda County,1,0,0,1,No Data,0
2016,California,Other Agencies,Contra Costa County,1,0,0,1,No Data,0
2016,California,Other Agencies,Santa Clara Transit District,0,0,1,1,No Data,0
2016,Colorado,Total,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Colorado,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Colorado,Cities,Aspen,0,0,0,1,6926,0
2016,Colorado,Cities,Aurora,1,3,6,8,366477,0
2016,Colorado,Cities,Boulder,1,1,2,0,109189,0
2016,Colorado,Cities,Breckenridge,0,0,1,0,4971,0
2016,Colorado,Cities,Carbondale,0,1,0,0,6728,0
2016,Colorado,Cities,Centennial,0,0,2,0,111479,0
2016,Colorado,Cities,Colorado Springs,0,2,1,3,464113,0
2016,Colorado,Cities,Delta,1,0,0,0,8778,0
2016,Colorado,Cities,Denver,4,2,1,12,699259,0
2016,Colorado,Cities,Dillon,0,0,0,1,972,0
2016,Colorado,Cities,Erie,0,0,1,0,22115,0
2016,Colorado,Cities,Florence,0,0,1,0,3861,0
2016,Colorado,Cities,Fort Collins,2,0,0,0,164670,0
2016,Colorado,Cities,Fort Lupton,0,1,0,0,7903,0
2016,Colorado,Cities,Fountain,0,0,0,1,28115,0
2016,Colorado,Cities,Golden,0,0,1,0,20616,0
2016,Colorado,Cities,Grand Junction,0,0,3,0,60628,0
2016,Colorado,Cities,Longmont,0,0,1,2,93268,0
2016,Colorado,Cities,Loveland,0,0,1,0,76936,0
2016,Colorado,Cities,Nederland,0,0,1,0,1534,0
2016,Colorado,Cities,Pueblo,0,0,0,1,109927,0
2016,Colorado,Cities,Sterling,0,0,0,1,14087,0
2016,Colorado,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Colorado,Universities and Colleges,Auraria Higher Education Center ,0,1,0,0,No Data,0
2016,Colorado,Universities and Colleges,"University of Colorado, Boulder",2,0,2,2,33056,0
2016,Colorado,Universities and Colleges,University of Northern Colorado,0,0,1,0,12216,0
2016,Colorado,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Colorado,Metropolitan Counties,Adams,0,0,1,0,No Data,0
2016,Colorado,Metropolitan Counties,Arapahoe,0,3,1,1,No Data,0
2016,Colorado,Metropolitan Counties,Boulder,0,0,0,2,No Data,0
2016,Colorado,Metropolitan Counties,Douglas,0,0,1,1,No Data,0
2016,Colorado,Metropolitan Counties,El Paso,1,0,0,0,No Data,0
2016,Colorado,Metropolitan Counties,Larimer,0,2,1,5,No Data,0
2016,Colorado,Metropolitan Counties,Mesa,1,0,0,0,No Data,0
2016,Colorado,Metropolitan Counties,Teller,0,1,0,0,No Data,0
2016,Colorado,Nonmetropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Colorado,Nonmetropolitan Counties,Custer,0,0,1,0,No Data,0
2016,Colorado,Nonmetropolitan Counties,Garfield,1,0,0,0,No Data,0
2016,Colorado,Nonmetropolitan Counties,San Juan,0,0,1,0,No Data,0
2016,Colorado,Nonmetropolitan Counties,Summit,0,0,0,1,No Data,0
2016,Connecticut,Total,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Connecticut,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Connecticut,Cities,Bloomfield,1,1,0,0,20801,0
2016,Connecticut,Cities,Bridgeport,0,4,2,0,148180,0
2016,Connecticut,Cities,Bristol,0,0,1,1,60445,0
2016,Connecticut,Cities,Clinton,0,0,1,0,13008,0
2016,Connecticut,Cities,Danbury,1,1,1,6,85335,0
2016,Connecticut,Cities,Darien,0,0,1,0,21995,0
2016,Connecticut,Cities,Greenwich,0,0,1,0,62970,0
2016,Connecticut,Cities,Groton,0,0,0,1,9189,0
2016,Connecticut,Cities,Groton Town,0,0,1,0,29910,0
2016,Connecticut,Cities,Guilford,1,0,0,0,22343,0
2016,Connecticut,Cities,Hartford,2,2,1,1,123736,0
2016,Connecticut,Cities,Ledyard,0,0,0,1,15021,0
2016,Connecticut,Cities,Madison,0,0,0,1,18212,0
2016,Connecticut,Cities,Manchester,1,2,1,3,57957,0
2016,Connecticut,Cities,Middletown,0,2,0,0,46580,0
2016,Connecticut,Cities,Naugatuck,0,1,0,0,31469,0
2016,Connecticut,Cities,New Haven,5,1,0,3,130425,0
2016,Connecticut,Cities,Newington,1,0,0,1,30610,0
2016,Connecticut,Cities,New London,2,0,0,0,27092,0
2016,Connecticut,Cities,Norwalk,1,5,0,1,88989,0
2016,Connecticut,Cities,Norwich,1,0,0,0,39771,0
2016,Connecticut,Cities,Old Saybrook,0,0,0,1,10145,0
2016,Connecticut,Cities,Ridgefield,0,0,0,1,25358,0
2016,Connecticut,Cities,Rocky Hill,0,0,0,1,20085,0
2016,Connecticut,Cities,Shelton,0,0,0,1,41638,0
2016,Connecticut,Cities,Southington,0,1,0,0,43948,0
2016,Connecticut,Cities,Stamford,4,2,1,1,130116,0
2016,Connecticut,Cities,Stratford,0,1,0,0,52841,0
2016,Connecticut,Cities,Torrington,0,1,1,1,34626,0
2016,Connecticut,Cities,Trumbull,1,0,0,0,36741,0
2016,Connecticut,Cities,Vernon,0,0,0,1,28915,0
2016,Connecticut,Cities,Wallingford,0,0,1,0,44840,0
2016,Connecticut,Cities,Waterbury,2,3,0,1,108491,0
2016,Connecticut,Cities,Waterford,0,0,1,0,19236,0
2016,Connecticut,Cities,West Hartford,0,0,0,2,62979,0
2016,Connecticut,Cities,Westport,0,2,0,0,28198,0
2016,Connecticut,Cities,Wethersfield,1,0,0,0,26306,0
2016,Connecticut,Cities,Willimantic,0,0,1,0,17766,0
2016,Connecticut,Cities,Woodbridge,0,0,1,0,8864,0
2016,Connecticut,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Connecticut,Universities and Colleges,Southern Connecticut State University,1,0,1,0,10473,0
2016,Connecticut,State Police Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Connecticut,State Police Agencies,Connecticut State Police,0,1,3,1,No Data,0
2016,Connecticut,Tribal Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Connecticut,Tribal Agencies,Mashantucket Pequot Tribal,0,0,0,1,No Data,0
2016,Delaware,Total,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Delaware,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Delaware,Cities,Camden,0,0,0,1,3512,0
2016,Delaware,Cities,Newark,0,0,0,1,34297,0
2016,Delaware,Cities,Rehoboth Beach,1,0,0,0,1485,0
2016,Delaware,Cities,Smyrna,0,1,0,0,11573,0
2016,Delaware,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Delaware,Metropolitan Counties,New Castle County Police Department,1,0,2,1,No Data,0
2016,Delaware,State Police Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Delaware,State Police Agencies,State Police:,DNR,DNR,DNR,DNR,No Data,1
2016,Delaware,State Police Agencies,Kent County,0,0,1,0,No Data,0
